Clone,Ano,Bloco,N_Roots,FRY,ShY,DMC,StY,Plant.Height,HI,StC,Root.Le,Root.Di,Stem.D,Nstem.Plant
4271,2019,1,4.333,5,11.833,31.6831683168317,1.35165841584158,1.36,29.7035584863067,27.0331683168317,29.3333333333333,29.65,2.23366666666667,2.33333333333333
4271,2019,2,4.667,4.167,15.583,34.6534653465347,1.2502444009901,1.50333333333333,21.0987341772152,30.0034653465347,30.6666666666667,28.2433333333333,2.09966666666667,2.33333333333333
4271,2019,3,4.667,2,14.571,32,0.547,1.42333333333333,12.0692776537324,27.35,22,30.9566666666667,2.34733333333333,2.66666666666667
4271,2019,4,3,1.429,11.143,NA,NA,1.18666666666667,11.3665287941457,NA,26.6666666666667,32.58,2.20766666666667,2.33333333333333
2012-107-002,2019,1,15.667,8.9,12,31.7307692307692,2.41018846153846,1.73,42.5837320574163,27.0807692307692,29.6666666666667,31.5933333333333,2.73533333333333,3
2012-107-002,2019,2,8.333,5.667,8.5,26,1.2099045,1.22,40.0014117314887,21.35,24.6666666666667,33.3533333333333,1.45033333333333,2
2012-107-002,2019,3,11.333,8.6,10,28,2.0081,1.34666666666667,46.2365591397849,23.35,28.3333333333333,42.7166666666667,1.653,3.66666666666667
2012-107-002,2019,4,10,7.25,19,22.7722772277228,1.3138650990099,1.39333333333333,27.6190476190476,18.1222772277228,32.3333333333333,24.7933333333333,1.77533333333333,3
9624-09,2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9624-09,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9624-09,2018,3,NA,NA,NA,35,NA,NA,NA,30.35,24,25.7066666666667,NA,NA
9624-09,2018,4,6.25,4.25,14.5,37.7358490566038,1.40614858490566,NA,22.6666666666667,33.0858490566038,23,30.6266666666667,NA,NA
Aipim Abacate,2019,1,7.333,5.625,11,28,1.3134375,1.85666666666667,33.8345864661654,23.35,29.6666666666667,25.9433333333333,2.484,4.66666666666667
Aipim Abacate,2019,2,6,4.786,12.429,26.7326732673267,1.05687674257426,1.52333333333333,27.8013360441475,22.0826732673267,23.3333333333333,29.0966666666667,1.54866666666667,4.33333333333333
Aipim Abacate,2019,3,12,8,17.833,26.7326732673267,1.76661386138614,1.81333333333333,30.9681415244068,22.0826732673267,28.6666666666667,33.1433333333333,1.84433333333333,5
Aipim Abacate,2019,4,7.333,4.4,11.6,34.6153846153846,1.31847692307692,2.37333333333333,27.5,29.9653846153846,30.3333333333333,36.31,2.187,2.66666666666667
Alagoana,2017,1,1.833,1.389,9.57,NA,NA,1.09,12.6745140980016,NA,20.3333333333333,24.64,2.46666666666667,NA
Alagoana,2017,2,5.333,4.32,10.35,NA,NA,1.02333333333333,29.4478527607362,NA,23.3333333333333,28.09,2.4,NA
Alagoana,2017,3,4.6,4.167,7.94,NA,NA,0.946666666666667,34.4181052283803,NA,20,32.9633333333333,1.8,NA
Alagoana,2017,4,2.25,1.69,7.13,NA,NA,0.81,19.1609977324263,NA,17.3333333333333,26.3766666666667,1.97,NA
BGM-0004,2018,1,0.667,1.333,8.667,35,0.4045655,0.896666666666667,13.33,30.35,9.5,29.92,1.85333333333333,3
BGM-0004,2018,2,0.3,0.6,3,35.8974358974359,0.187484615384615,0.74,16.6666666666667,31.2474358974359,15.75,26.03,1.46333333333333,2
BGM-0004,2018,3,0.25,1.125,5.25,37.7049180327869,0.371867827868852,0.756666666666667,17.6470588235294,33.0549180327869,19,27.08,1.47766666666667,3
BGM-0004,2018,4,0.4,0.5,5,34.2857142857143,0.148178571428571,0.923333333333333,9.09090909090909,29.6357142857143,10.6666666666667,27.7933333333333,2.12,2
BGM-0019,2019,1,1,NA,2.333,NA,NA,1.26666666666667,NA,NA,11.5,19.815,1.721,1.66666666666667
BGM-0019,2019,2,NA,NA,3,NA,NA,0.84,NA,NA,NA,NA,1.252,1.66666666666667
BGM-0019,2019,3,0.333,NA,2.833,NA,NA,1.21,NA,NA,NA,NA,1.52033333333333,1.33333333333333
BGM-0019,2019,4,6.667,4.5,11.714,22.7722772277228,0.815502475247525,1.60333333333333,27.7537930183792,18.1222772277228,19.6666666666667,31.7566666666667,2.10133333333333,1.66666666666667
BGM-0030,2018,1,0.833,2.75,9.25,32.6530612244898,0.77008418367347,0.946666666666667,22.9166666666667,28.0030612244898,19.6333333333333,31.7366666666667,2.58,1.66666666666667
BGM-0030,2018,2,0.833,3.333,8.333,37,1.0782255,1.05,28.5702040116578,32.35,22,36.5566666666667,2.57666666666667,1.66666666666667
BGM-0030,2018,3,NA,NA,1.333,NA,NA,0.513333333333333,NA,NA,NA,NA,1.416,1.33333333333333
BGM-0030,2018,4,1.889,7.333,14,37.8640776699029,2.43558831553398,1.09,34.373974593353,33.2140776699029,25.6666666666667,31.3666666666667,2.18766666666667,2.33333333333333
BGM-0032,2017,1,5,2.083,8.056,NA,NA,1.24,20.544432389782,NA,28.6666666666667,19.6066666666667,3.03333333333333,NA
BGM-0032,2017,2,6,2.604,10.069,NA,NA,1.02,20.5476209263789,NA,24.6666666666667,29.05,2.63,NA
BGM-0032,2017,3,7,4.861,11.111,NA,NA,1.2,30.4345103931881,NA,25.6666666666667,23.8333333333333,2.8,NA
BGM-0032,2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0036,2017,1,1.833,2.431,18.66,NA,NA,1.2,11.5262434213646,NA,26.3333333333333,28.1433333333333,2.9,NA
BGM-0036,2017,2,2.667,1.505,16.667,NA,NA,1.29666666666667,8.28197226502311,NA,21.6666666666667,20.9533333333333,2.53333333333333,NA
BGM-0036,2017,3,3.833,1.62,17.92,NA,NA,1.38333333333333,8.2906857727738,NA,21.3333333333333,24.0166666666667,2.46666666666667,NA
BGM-0036,2017,4,NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,2.06666666666667,NA
BGM-0036,2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0036,2018,2,NA,NA,NA,NA,NA,0.78,NA,NA,NA,NA,1.84333333333333,1
BGM-0036,2018,3,1.167,2.625,10.5,39,0.9016875,1.04,20,34.35,24,23.69,2.57133333333333,1
BGM-0036,2018,4,0.381,1.429,11.429,35.7798165137615,0.444845077981651,1.45333333333333,11.1137035308757,31.1298165137615,19,43.38,2.34866666666667,1.66666666666667
BGM-0044,2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53333333333333,1.33333333333333
BGM-0044,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70666666666667,2
BGM-0044,2018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.653,1.66666666666667
BGM-0044,2018,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0046,2017,1,4,4.25,14.296,NA,NA,1.22666666666667,22.9159926668823,NA,25,31.0033333333333,2.67,NA
BGM-0046,2017,2,3.5,6.39,13.76,NA,NA,1.12666666666667,31.712158808933,NA,26,33.4666666666667,2.18333333333333,NA
BGM-0046,2017,3,4.4,6.611,14.56,NA,NA,1.18,31.2266780029285,NA,23,23.41,2.4,NA
BGM-0046,2017,4,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,1.98,NA
BGM-0046,2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0046,2018,2,2.3,3.5,9.6,33,0.99225,1.04666666666667,26.7175572519084,28.35,25.8333333333333,28.1333333333333,2.24333333333333,1
BGM-0046,2018,3,1.667,6,10.167,35.6435643564356,1.85961386138614,1.05333333333333,37.1126368528484,30.9935643564356,28,25.4333333333333,2.05166666666667,2
BGM-0046,2018,4,1.167,17,26.25,42.5742574257426,6.44712376237624,NA,39.3063583815029,37.9242574257426,23.6666666666667,52.7366666666667,NA,NA
BGM-0048,2018,1,1.333,1.75,1.75,36.9565217391304,0.565364130434783,NA,50,32.3065217391304,15.6666666666667,26.5166666666667,NA,NA
BGM-0048,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0048,2018,3,NA,NA,1.3,NA,NA,0.806666666666667,NA,NA,NA,NA,1.25366666666667,1.66666666666667
BGM-0048,2018,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0056,2017,1,6.67,7.65,9.144,NA,NA,1.18666666666667,45.5519828510182,NA,26.3333333333333,32.05,2.96666666666667,NA
BGM-0056,2017,2,6,4.01,9.259,NA,NA,1.06,30.2208154344713,NA,26.6666666666667,27.94,2.36666666666667,NA
BGM-0056,2017,3,6.167,6.019,9.954,NA,NA,NA,37.682338946973,NA,26.3333333333333,28.9866666666667,NA,NA
BGM-0056,2017,4,6.83,4.08,6.944,NA,NA,1.13,37.0101596516691,NA,18.6666666666667,25.35,2.36666666666667,NA
BGM-0056,2018,1,NA,NA,2,NA,NA,0.863333333333333,NA,NA,NA,NA,2.13333333333333,1.33333333333333
BGM-0056,2018,2,2.4,1.8,12,31,0.4743,1.09666666666667,13.0434782608696,26.35,20.3333333333333,34.7433333333333,2.57,1
BGM-0056,2018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0056,2018,4,2.4,1.1,6.9,32.2222222222222,0.303294444444444,1.06,13.75,27.5722222222222,16.5,30.78,2.295,1
BGM-0065,2017,1,5.667,4.46,13.05,NA,NA,1.10666666666667,25.4711593375214,NA,24,32.4366666666667,2.26666666666667,NA
BGM-0065,2017,2,4.833,1.852,12.963,NA,NA,1.05333333333333,12.5008437394533,NA,18.6666666666667,30.79,2.23333333333333,NA
BGM-0065,2017,3,3.833,2.04,11.14,NA,NA,1.05333333333333,15.4779969650986,NA,17.3333333333333,24.3033333333333,2,NA
BGM-0065,2017,4,6.167,3.356,12.269,NA,NA,1.18666666666667,21.4784,NA,26.3333333333333,25.8,2.16666666666667,NA
BGM-0066,2018,1,0.5,1,6,31.0344827586207,0.263844827586207,1.11666666666667,14.2857142857143,26.3844827586207,17.3333333333333,25.4166666666667,1.61,1
BGM-0066,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0066,2018,3,0.19,1,5.714,29,0.2435,1.41333333333333,14.8942508191838,24.35,16.3333333333333,23.59,2.00666666666667,1
BGM-0066,2018,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0074,2019,1,4.333,6.857,17.143,29,1.6696795,1.28666666666667,28.5708333333333,24.35,26,20.68,2.57633333333333,1.33333333333333
BGM-0074,2019,2,4,4.917,15.167,31,1.2956295,1.49666666666667,24.4821748655646,26.35,28,38.7766666666667,2.04966666666667,2.66666666666667
BGM-0074,2019,3,5.667,4.143,14.286,28.2828282828283,0.979108075757576,1.41333333333333,22.480872537848,23.6328282828283,22.3333333333333,36.6233333333333,2.42166666666667,3
BGM-0074,2019,4,1.667,NA,7,NA,NA,1.24333333333333,NA,NA,15,27.12,1.92066666666667,3.66666666666667
BGM-0080,2017,1,5.83,5.03,8.57,NA,NA,1.05,36.9852941176471,NA,26.3333333333333,32.56,2.43,NA
BGM-0080,2017,2,4.17,2.69,5.66,NA,NA,0.89,32.2155688622755,NA,30.6666666666667,27.97,1.73333333333333,NA
BGM-0080,2017,3,4.5,2.62,6.134,NA,NA,1.09333333333333,29.9291752341787,NA,21,24.5733333333333,2.3,NA
BGM-0080,2017,4,3.33,2.6,4.398,NA,NA,0.803333333333333,37.1534724206916,NA,21.6666666666667,32.5533333333333,2.07,NA
BGM-0084,2019,1,2.667,3.929,8.429,30,0.9960015,1.73,31.7931704159249,25.35,21,32.19,2.118,1.33333333333333
BGM-0084,2019,2,0.333,NA,3,NA,NA,1.08,NA,NA,NA,NA,1.38033333333333,1.66666666666667
BGM-0084,2019,3,4.667,1.429,6.857,18.6274509803922,0.199737774509804,1.32666666666667,17.2459570359643,13.9774509803922,18.3333333333333,31.23,1.756,3
BGM-0084,2019,4,1.667,2,11.857,31.6831683168317,0.540663366336634,1.74333333333333,14.4331384859638,27.0331683168317,23.3333333333333,33.4766666666667,1.708,2
BGM-0089,2019,1,0.667,0.286,10.143,20,0.043901,1.11333333333333,2.74235305398408,15.35,26.6666666666667,7.85333333333333,1.78233333333333,2.33333333333333
BGM-0089,2019,2,1.667,NA,8.143,NA,NA,1.10333333333333,NA,NA,NA,NA,1.37366666666667,4
BGM-0089,2019,3,2,NA,6.571,NA,NA,1.45333333333333,NA,NA,NA,NA,2.03433333333333,2.33333333333333
BGM-0089,2019,4,2.667,0.429,12,22.7272727272727,0.0775515,1.28,3.45160511706493,18.0772727272727,21.3333333333333,16.42,1.804,3
BGM-0091,2017,1,2.36,0.694,4.13,NA,NA,0.953333333333333,14.3864013266998,NA,20,17.5633333333333,2.3,NA
BGM-0091,2017,2,2.25,1.042,5.556,NA,NA,1.04333333333333,15.7926644437708,NA,20.3333333333333,20.4433333333333,2.4,NA
BGM-0091,2017,3,1.333,0.694,4.63,NA,NA,1.01666666666667,13.0353117956424,NA,12.6666666666667,17.2466666666667,2.5,NA
BGM-0091,2017,4,4.25,3.125,7.75,NA,NA,1.22666666666667,28.735632183908,NA,19.6666666666667,22.92,2.33333333333333,NA
BGM-0096,2017,1,5.33,8.39,10.532,NA,NA,1.16,44.3399217841666,NA,28.3333333333333,30.6733333333333,2.23,NA
BGM-0096,2017,2,3.667,4.31,9,NA,NA,0.963333333333333,32.381667918858,NA,20.6666666666667,28.4333333333333,1.86666666666667,NA
BGM-0096,2017,3,5.26,5.93,7.25,NA,NA,1.11,44.9924127465857,NA,21,24.1166666666667,2.05,NA
BGM-0096,2017,4,5.167,4.01,7.28,NA,NA,0.94,35.5181576616475,NA,22,22.3533333333333,1.86666666666667,NA
BGM-0106,2018,1,NA,0.5,2.8,31.25,0.133,0.98,15.1515151515152,26.6,NA,NA,1.63666666666667,2.66666666666667
BGM-0106,2018,2,2,12.75,15.75,38.0952380952381,4.26426785714286,NA,44.7368421052632,33.4452380952381,NA,NA,NA,NA
BGM-0106,2018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0106,2018,4,1.056,4.667,5.5,42.7184466019417,1.77665440291262,1.42666666666667,45.9034130028524,38.0684466019417,22,38.9,2.17066666666667,1.33333333333333
BGM-0115,2017,1,3,1.667,8.611,NA,NA,1.07333333333333,16.2191087760265,NA,19.3333333333333,30.6766666666667,2,NA
BGM-0115,2017,2,6,3.009,11.19,NA,NA,1.23333333333333,21.1916332136066,NA,25.3333333333333,24.0466666666667,2.5,NA
BGM-0115,2017,3,5.33,2.315,9.18,NA,NA,1.13333333333333,20.1391909525881,NA,23,22.8066666666667,2.26666666666667,NA
BGM-0115,2017,4,6.167,1.852,10.185,NA,NA,1.31,15.3858934950569,NA,22,20.4566666666667,2.46666666666667,NA
BGM-0116,2019,1,6,4,16.429,NA,NA,1.69333333333333,19.580008811004,NA,27.6666666666667,29.1533333333333,2.66233333333333,2
BGM-0116,2019,2,5,3.333,13.167,38,1.1115555,1.68333333333333,20.2,33.35,30,32.8966666666667,2.581,1.66666666666667
BGM-0116,2019,3,7.333,3.25,14.833,30.6930693069307,0.846399752475247,1.60666666666667,17.9726815240834,26.0430693069307,39,29.2066666666667,2.112,3.66666666666667
BGM-0116,2019,4,4,1.071,10.714,32.2222222222222,0.2952985,1.52666666666667,9.08782350445481,27.5722222222222,20.3333333333333,26.2633333333333,1.903,2.66666666666667
BGM-0118,2019,1,3.667,3.286,16,30.0970873786408,0.836191291262136,1.47,17.0382660997615,25.4470873786408,29.6666666666667,27.2633333333333,2.12566666666667,2
BGM-0118,2019,2,2.333,1.143,15.357,32.3529411764706,0.316644617647059,1.58666666666667,6.92727272727273,27.7029411764706,23.6666666666667,26.4566666666667,2.123,3.33333333333333
BGM-0118,2019,3,3.333,2.071,14.214,30,0.5249985,1.59333333333333,12.7172244396684,25.35,20,28.1433333333333,2.491,2
BGM-0118,2019,4,2.333,0.429,24.429,39.5348837209302,0.149656151162791,2.03,1.72580255853246,34.8848837209302,16.6666666666667,27.63,2.252,2.33333333333333
BGM-0124,2018,1,0.905,9.429,12.286,40,3.3331515,1.31,43.4215979737509,35.35,28,40.52,2.42333333333333,1
BGM-0124,2018,2,0.5,1.833,6.083,33,0.5196555,1.01333333333333,23.155634158666,28.35,24.6666666666667,34.4966666666667,1.68666666666667,1
BGM-0124,2018,3,0.4,1.6,4.3,33,0.4536,0.926666666666667,27.1186440677966,28.35,13.6666666666667,36.1666666666667,1.73833333333333,1.33333333333333
BGM-0124,2018,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0128,2019,1,6.667,1.9,14.2,31.7307692307692,0.514534615384615,1.30666666666667,11.8012422360248,27.0807692307692,24,31.3933333333333,2.575,3
BGM-0128,2019,2,3,1.833,5.25,22.7722772277228,0.332181341584158,1.05,25.8788648877594,18.1222772277228,23.6666666666667,34.6233333333333,1.973,2
BGM-0128,2019,3,4.667,3.417,12.333,25.7425742574257,0.720733262376238,1.25333333333333,21.6952380952381,21.0925742574257,24.3333333333333,34.7,2.18666666666667,3
BGM-0128,2019,4,6.667,4.3,19.6,27.7227722772277,0.992129207920792,1.42666666666667,17.9916317991632,23.0727722772277,20.3333333333333,32.07,1.99966666666667,3.66666666666667
BGM-0130,2018,1,1.444,8.667,10.167,32.6732673267327,2.42877657920792,1.55,46.0178400764575,28.0232673267327,24,39.3366666666667,2.77,1
BGM-0130,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0130,2018,3,NA,NA,6.333,NA,NA,0.823333333333333,NA,NA,NA,NA,1.44366666666667,1.66666666666667
BGM-0130,2018,4,3.25,8.875,9.5,40,3.1373125,1.62333333333333,48.2993197278912,35.35,23.3333333333333,47.42,2.28033333333333,1.33333333333333
BGM-0130,2019,1,6.333,5.6,7.4,26.9230769230769,1.24729230769231,1.65,43.0769230769231,22.2730769230769,28.6666666666667,41.3466666666667,2.412,3
BGM-0130,2019,2,4,5.667,10.333,27.4509803921569,1.29213155882353,1.53,35.41875,22.8009803921569,26.6666666666667,39.01,1.993,3.33333333333333
BGM-0130,2019,3,4.333,2.214,7.286,27.6190476190476,0.508534714285714,1.47333333333333,23.3052631578947,22.9690476190476,22.3333333333333,32.58,1.87433333333333,3.33333333333333
BGM-0130,2019,4,3,3.4,6,25,0.6919,1.42,36.1702127659574,20.35,18,28.9533333333333,1.76333333333333,4
BGM-0134,2017,1,5.333,3.241,8.565,NA,NA,1.21,27.4521429781467,NA,25.3333333333333,25.9033333333333,2.4,NA
BGM-0134,2017,2,4,1.62,9.259,NA,NA,1.13,14.8910745472929,NA,22.6666666666667,15.7866666666667,2.06666666666667,NA
BGM-0134,2017,3,3.167,3.389,9.44,NA,NA,1.02666666666667,26.4167121365656,NA,16.6666666666667,26.99,2.16666666666667,NA
BGM-0134,2017,4,6,3.009,8.333,NA,NA,1.1,26.5297125727385,NA,24.3333333333333,25.2666666666667,2.36666666666667,NA
BGM-0134,2018,1,3.667,4.75,8.667,38.6138613861386,1.61328341584158,1.03666666666667,35.4028471342327,33.9638613861386,24.6666666666667,46.24,1.55,1.66666666666667
BGM-0134,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0134,2018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0134,2018,4,3.722,10.917,20.75,39.2156862745098,3.77353597058824,1.92333333333333,34.4743739539584,34.5656862745098,25.6666666666667,45.6,2.68066666666667,1.66666666666667
BGM-0134,2019,1,7,7.333,11.667,23.8532110091743,1.40817146330275,1.42333333333333,38.5947368421053,19.2032110091743,28,13.2,1.994,2.66666666666667
BGM-0134,2019,2,5.333,4.071,6.643,31,1.0727085,1.07333333333333,37.9970132536868,26.35,19.3333333333333,35.2466666666667,1.831,3.66666666666667
BGM-0134,2019,3,8.333,6.5,11.2,29.126213592233,1.59095388349515,1.36,36.7231638418079,24.476213592233,23.3333333333333,42.43,2.093,3.66666666666667
BGM-0134,2019,4,9.333,10.286,22.143,35,3.121801,2.04,31.7185235437417,30.35,24.3333333333333,53.4066666666667,2.564,3.66666666666667
BGM-0143,2019,1,4.333,3.583,13.75,29.7029702970297,0.897647925742574,1.59333333333333,20.671551375988,25.0529702970297,25,33.1133333333333,2.15566666666667,3
BGM-0143,2019,2,4.667,6.643,16.714,32,1.8168605,1.40333333333333,28.4411525452755,27.35,26,34.56,1.977,3.33333333333333
BGM-0143,2019,3,2.667,3.571,14.643,30.6930693069307,0.929998004950495,1.37666666666667,19.6057977380037,26.0430693069307,24.3333333333333,35.7533333333333,2.002,2.66666666666667
BGM-0143,2019,4,6.333,5.083,15.667,29.7029702970297,1.27344248019802,1.50666666666667,24.4963855421687,25.0529702970297,23.3333333333333,26.78,1.81666666666667,3
BGM-0156,2019,1,4.333,4.5,14.571,28.4313725490196,1.07016176470588,1.77,23.5960358659745,23.7813725490196,38.3333333333333,29.4166666666667,2.37233333333333,2.33333333333333
BGM-0156,2019,2,2.667,4.083,12.667,31.6831683168317,1.10376426237624,1.37333333333333,24.3761194029851,27.0331683168317,28.3333333333333,40.5766666666667,1.93866666666667,3.66666666666667
BGM-0156,2019,3,4,3.714,17.429,31,0.978639,1.38,17.5660975263681,26.35,32.3333333333333,33.4966666666667,1.707,2.66666666666667
BGM-0156,2019,4,6.667,11.786,31.143,30,2.987751,1.70666666666667,27.4546343963288,25.35,36.3333333333333,39.4933333333333,2.18766666666667,4.33333333333333
BGM-0163,2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0163,2018,2,4.167,6,19.5,36.6336633663366,1.9190198019802,NA,23.5294117647059,31.9836633663366,18,36.6466666666667,NA,NA
BGM-0163,2018,3,NA,NA,NA,NA,NA,0.696666666666667,NA,NA,NA,NA,NA,1.33333333333333
BGM-0163,2018,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0164,2017,1,5,4.79,14.45,NA,NA,1.41333333333333,24.8960498960499,NA,27.6666666666667,29.9666666666667,2.33333333333333,NA
BGM-0164,2017,2,6,4.167,13.657,NA,NA,1.37,23.3785906642729,NA,21.3333333333333,27.4866666666667,2.53333333333333,NA
BGM-0164,2017,3,4.167,4.926,19.56,NA,NA,1.16333333333333,20.1176182308258,NA,24,17.91,2,NA
BGM-0164,2017,4,5.4,1.56,10.81,NA,NA,1.23,12.6111560226354,NA,22,29.2233333333333,1.9,NA
BGM-0164,2018,1,5.417,19.375,28.375,34.3137254901961,5.74734681372549,1.3,40.5759162303665,29.6637254901961,35.6666666666667,41.1833333333333,2.27333333333333,1.66666666666667
BGM-0164,2018,2,4.524,13.929,12.143,38.2352941176471,4.67809561764706,1.16,53.4251304081006,33.5852941176471,31.3333333333333,47.6733333333333,2.58,1
BGM-0164,2018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0164,2018,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0164,2019,1,12,3.667,23.167,27.7227722772277,0.84607855940594,1.53,13.6654989938138,23.0727722772277,27,26.4733333333333,2.19066666666667,4
BGM-0164,2019,2,10.333,4.714,25.571,25,0.959299,1.74333333333333,15.5654614495625,20.35,31.6666666666667,32.12,2.21433333333333,5.66666666666667
BGM-0164,2019,3,11.333,7,24.429,26,1.4945,1.62,22.2724235578606,21.35,32,34.4466666666667,2.17366666666667,5.66666666666667
BGM-0164,2019,4,12.333,4.167,26.333,29.4117647058824,1.03182273529412,1.96,13.6622950819672,24.7617647058823,30.3333333333333,32.9133333333333,2.10233333333333,4.66666666666667
BGM-0164,2020,1,10.333,8.867,34,23.052,1.63170534,1.40333333333333,20.684909137565,18.402,27.6666666666667,21.44,2.038,4.66666666666667
BGM-0164,2020,2,10,8.267,44.167,24.204,1.61652918,1.26333333333333,15.7664873936759,19.554,27.6666666666667,18.92,1.97633333333333,4.66666666666667
BGM-0164,2020,3,9,11.833,43.5,26.49,2.5843272,1.32666666666667,21.3850685847505,21.84,23.6666666666667,29.3366666666667,2.013,4
BGM-0164,2020,4,8,7.367,35,23.316,1.37512422,1.21,17.3885335284537,18.666,27,25.6066666666667,1.977,4.66666666666667
BGM-0167,2017,1,1.833,2.315,6.33,NA,NA,0.97,26.7784846732215,NA,23.6666666666667,29.3033333333333,2.3,NA
BGM-0167,2017,2,3.4,3.333,7.639,NA,NA,0.87,30.3773240977032,NA,17.6666666666667,30.8466666666667,1.6,NA
BGM-0167,2017,3,3.714,3.389,4.167,NA,NA,0.91,44.8517734250926,NA,17.3333333333333,21.3566666666667,1.83333333333333,NA
BGM-0167,2017,4,1.5,3.116,6.97,NA,NA,0.693333333333333,30.8943089430894,NA,11.3333333333333,22.3433333333333,2,NA
BGM-0167,2019,1,4.667,10.25,21.25,29.8076923076923,2.57866346153846,1.71666666666667,32.5396825396825,25.1576923076923,29.3333333333333,41.8433333333333,2.272,2
BGM-0167,2019,2,5.333,2.643,9.5,27,0.5907105,1.28333333333333,21.7656262867496,22.35,15.6666666666667,33.5566666666667,2.269,2.66666666666667
BGM-0167,2019,3,2.333,2.143,8,23.7623762376238,0.409578222772277,1.23666666666667,21.1278714384304,19.1123762376238,18,39.29,1.971,2
BGM-0167,2019,4,4.667,3.143,20.286,30.6930693069307,0.818533668316831,2.10333333333333,13.4149985061249,26.0430693069307,28.6666666666667,30.9866666666667,2.141,2.66666666666667
BGM-0168,2018,1,2.75,5.75,16.75,31,1.515125,NA,25.5555555555556,26.35,27.6666666666667,31.9466666666667,NA,NA
BGM-0168,2018,2,NA,NA,26.9,NA,NA,1.00666666666667,NA,NA,NA,NA,2.36333333333333,1.33333333333333
BGM-0168,2018,3,0.333,1.25,3.875,26,0.266875,0.536666666666667,24.390243902439,21.35,22.6666666666667,27.28,1.665,1.33333333333333
BGM-0168,2018,4,0.571,9.429,15.5,32.7102803738318,2.6458038364486,1.38666666666667,37.8234185085643,28.0602803738318,27,49.2333333333333,2.70666666666667,1.33333333333333
BGM-0170,2017,1,12,9.259,10.88,NA,NA,1.01,45.9754704801629,NA,22.6666666666667,29.9866666666667,2.56666666666667,NA
BGM-0170,2017,2,8.6,6.25,7.222,NA,NA,0.99,46.3925178147268,NA,22.6666666666667,30.42,1.83333333333333,NA
BGM-0170,2017,3,9.5,5.787,8.449,NA,NA,0.953333333333333,40.6504636133745,NA,23,29.87,2.03333333333333,NA
BGM-0170,2017,4,8.5,6.597,6.713,NA,NA,0.85,49.5642374154771,NA,23.6666666666667,34.3233333333333,1.8,NA
BGM-0170,2018,1,3.833,7.167,10,34,2.1035145,1.27333333333333,41.748703908662,29.35,22.3333333333333,36.5866666666667,1.97,2.33333333333333
BGM-0170,2018,2,2.4,6.2,5.6,33,1.7577,0.983333333333333,52.5423728813559,28.35,21.3333333333333,41.7166666666667,2.11,1.66666666666667
BGM-0170,2018,3,2.583,11,8,37,3.5585,1.17,57.8947368421053,32.35,38.3333333333333,39.8033333333333,2.08033333333333,1.66666666666667
BGM-0170,2018,4,2.583,15,12.875,36.697247706422,4.8070871559633,1.33666666666667,53.8116591928251,32.047247706422,28.3333333333333,38.9033333333333,1.83633333333333,1.66666666666667
BGM-0170,2019,1,10.333,11.5,14,29.126213592233,2.8147645631068,1.66,45.0980392156863,24.476213592233,26,33.5033333333333,1.92633333333333,3.33333333333333
BGM-0170,2019,2,5,11,12.5,30.6930693069307,2.86473762376238,1.36,46.8085106382979,26.0430693069307,28.6666666666667,41.7466666666667,1.57766666666667,3.66666666666667
BGM-0170,2019,3,8.667,16.8,17.6,26.7326732673267,3.70988910891089,1.56666666666667,48.8372093023256,22.0826732673267,35.6666666666667,42.11,1.929,2.66666666666667
