Clone,Ano,Bloco,N_Roots,FRY,ShY,DMC,StY,Plant.Height,HI,StC,Root.Le,Root.Di,Stem.D,Nstem.Plant
BGM-2336,2019,3,3.333,2.5,11.429,25.4901960784314,0.521004901960784,1.59,17.9481656974657,20.8401960784314,23.3333333333333,42.5433333333333,1.82633333333333,2
BGM-2336,2019,4,9.667,6,18,28.7128712871287,1.44377227722772,1.56333333333333,25,24.0628712871287,31.3333333333333,33.1066666666667,2.41066666666667,2.66666666666667
BR-11-24-156,2019,1,8.333,14.5,19.083,27.5229357798165,3.31657568807339,1.82666666666667,43.1766072119823,22.8729357798165,31.6666666666667,33.8466666666667,2.29666666666667,2.33333333333333
BR-11-24-156,2019,2,6,5.571,16.714,31.3725490196078,1.48871320588235,1.52,24.9988781691721,26.7225490196078,24,40.4633333333333,2.20866666666667,1.33333333333333
BR-11-24-156,2019,3,9,11.5,16.5,32.0388349514563,3.14971601941748,1.91666666666667,41.0714285714286,27.3888349514563,26.6666666666667,42.28,2.528,1.66666666666667
BR-11-24-156,2019,4,8.333,15.5,25.857,32,4.23925,2.13333333333333,37.4785405130933,27.35,27.6666666666667,48.48,2.57333333333333,2
BR-11-24-156,2020,1,5.333,14.367,31.667,32.112,3.94546554,3.03333333333333,31.2095407742104,27.462,28.6666666666667,32.3766666666667,3.05833333333333,1.33333333333333
BR-11-24-156,2020,2,5,10.067,31,27.276,2.27775942,1.18,24.5135997272749,22.626,23.3333333333333,24.5233333333333,2.25833333333333,1.33333333333333
BR-11-24-156,2020,3,4.667,8.667,28,34.56,2.5922997,1.79,23.6370578449287,29.91,24.3333333333333,30.26,2.89733333333333,1
BR-11-24-156,2020,4,4.333,7.067,34,25.944,1.50484698,1.37666666666667,17.2084642170112,21.294,23,30.26,2.58533333333333,2
BR-11-34-41,2019,1,11.333,15.2,20.6,26.8518518518519,3.37468148148148,1.79333333333333,42.4581005586592,22.2018518518518,32,46.1433333333333,2.305,2.66666666666667
BR-11-34-41,2019,2,6.667,7.571,11.5,24.7524752475248,1.5219584009901,1.47,39.6990194536207,20.1024752475248,30.3333333333333,41.8066666666667,2.31733333333333,2
BR-11-34-41,2019,3,9.333,16.167,21.333,22.3300970873786,2.8583412961165,1.64666666666667,43.112,17.6800970873786,32,43.5033333333333,2.67966666666667,2.33333333333333
BR-11-34-41,2019,4,12,9.167,22.333,32,2.5071745,1.90666666666667,29.1015873015873,27.35,24,42.62,2.40866666666667,3
BR-11-34-41,2020,1,4.333,18.067,47.333,26.1705882352941,3.88812467647059,1.64,27.6253822629969,21.5205882352941,24,29.21,2.90433333333333,1
BR-11-34-41,2020,2,8.333,11.667,33.667,21.822,2.00345724,1.32333333333333,25.7356509463096,17.172,28.6666666666667,29.27,2.78266666666667,1.33333333333333
BR-11-34-41,2020,3,6.667,17.1,46.667,21.5941176470588,2.89744411764706,1.16,26.8163783775307,16.9441176470588,32.6666666666667,35.7,2.62833333333333,1
BR-11-34-41,2020,4,7.667,10.433,36.667,19.746,1.57496568,1.00333333333333,22.1507430997877,15.096,23.6666666666667,28.8333333333333,3.08166666666667,1
BR-11-34-45,2019,1,8,9.429,27.286,27.2727272727273,2.13309695454545,2.04333333333333,25.6816015252622,22.6227272727273,34.6666666666667,38.76,2.73666666666667,2.66666666666667
BR-11-34-45,2019,2,7.667,4.583,13.083,27.7227722772277,1.05742515346535,1.65333333333333,25.9424883957885,23.0727722772277,24.6666666666667,36.88,2.187,2
BR-11-34-45,2019,3,8,5.143,20.571,29.7029702970297,1.28847426237624,1.59333333333333,20.0007777864198,25.0529702970297,22.6666666666667,37.57,2.49833333333333,2.66666666666667
BR-11-34-45,2019,4,4.333,1.571,8,26,0.3354085,1.04,16.4141677985581,21.35,19,31.66,2.201,1.66666666666667
BR-11-34-64,2019,1,7.667,6,7.857,20.1834862385321,0.932009174311927,1.42666666666667,43.2994154578913,15.5334862385321,28.3333333333333,28.9933333333333,1.942,2
BR-11-34-64,2019,2,5.333,4.667,10.25,25.7425742574257,0.984390440594059,1.43,31.2864516994034,21.0925742574257,30.3333333333333,40.5866666666667,2.25066666666667,1
BR-11-34-64,2019,3,6,7.571,12.214,23.7623762376238,1.4469980049505,1.63,38.2663634066212,19.1123762376238,27,34.28,2.22366666666667,2.33333333333333
BR-11-34-64,2019,4,6,11.167,16,28.7128712871287,2.68710083663366,1.77666666666667,41.1050171163544,24.0628712871287,29,43.6566666666667,2.493,1.33333333333333
BR-11-34-69,2019,1,0.667,0.286,1.429,19.047619047619,0.0411771904761905,0.88,16.6763848396501,14.397619047619,16.5,22.045,1.47133333333333,2.33333333333333
BR-11-34-69,2019,2,0.667,NA,1.286,NA,NA,1.03333333333333,NA,NA,NA,NA,1.61333333333333,1.33333333333333
BR-11-34-69,2019,3,6,10.8,12.7,20.7920792079208,1.74334455445545,1.59,45.9574468085106,16.1420792079208,31,47.49,2.156,2.33333333333333
BR-11-34-69,2019,4,2.333,0.4,8.2,19.047619047619,0.0575904761904762,1.30666666666667,4.65116279069767,14.397619047619,15.6666666666667,29.15,1.47133333333333,3.33333333333333
Branquinha,2017,1,1,1.042,4.514,NA,NA,0.73,18.7544996400288,NA,14,28,1.73333333333333,NA
Branquinha,2017,2,4,2.546,9.028,NA,NA,0.826666666666667,21.997580784517,NA,16.6666666666667,30.9666666666667,2.6,NA
Branquinha,2017,3,3,1.389,NA,NA,NA,0.96,NA,NA,12,32.62,2.03333333333333,NA
Branquinha,2017,4,1,0.231,5.926,NA,NA,0.95,3.75182718856586,NA,13.3333333333333,26.87,2,NA
Branquinha_0,2017,1,8.2,5.417,11.111,NA,NA,0.9,32.7746853823814,NA,22.6666666666667,31.27,2.3,NA
Branquinha_0,2017,2,5.67,3.5,9.954,NA,NA,0.646666666666667,26.0145681581686,NA,24,25.9533333333333,1.86666666666667,NA
Branquinha_0,2017,3,6.83,3.39,11.324,NA,NA,0.943333333333333,23.0392823161615,NA,20.6666666666667,33.054,2.33333333333333,NA
Branquinha_0,2017,4,7,7.11,14.139,NA,NA,0.88,33.4603981363829,NA,22.3333333333333,22.2333333333333,2,NA
BRS Caipira,2018,1,2.762,12,13,35,3.642,1.28666666666667,48,30.35,31,44.07,2.32333333333333,1.33333333333333
BRS Caipira,2018,2,2.333,1.333,9.333,27.4509803921569,0.303937068627451,0.933333333333333,12.4976561035065,22.8009803921569,NA,NA,1.92666666666667,3
BRS Caipira,2018,3,2.667,11.214,11.929,35.6435643564356,3.47561830693069,1.09333333333333,48.4552564490343,30.9935643564356,29,40.1166666666667,2.71066666666667,1.33333333333333
BRS Caipira,2018,4,2.133,15.3,14.2,35.5140186915888,4.72219485981308,1.38333333333333,51.864406779661,30.8640186915888,22.3333333333333,38.5066666666667,2.21066666666667,2.33333333333333
BRS Caipira,2019,1,10.667,6.667,11,26.605504587156,1.46377349082569,1.36666666666667,37.7370238297391,21.955504587156,29,25,2.153,4
BRS Caipira,2019,2,9.333,6.833,14.583,26.7326732673267,1.50890906435644,1.28666666666667,31.9060515502428,22.0826732673267,29.6666666666667,33.78,1.995,5
BRS Caipira,2019,3,8.333,3.429,8.429,31.3725490196078,0.916316205882353,1.28,28.9171867093945,26.7225490196078,20.3333333333333,31.1766666666667,2.16666666666667,3
BRS Caipira,2019,4,9,3.167,13,NA,NA,0.826666666666667,19.5892868188285,NA,22,33.4566666666667,1.378,5.66666666666667
BRS Caipira,2020,1,7.667,14.233,33.667,29.268,3.50387994,1.36666666666667,29.713987473904,24.618,27,29.9933333333333,2.43566666666667,2.66666666666667
BRS Caipira,2020,2,7,7.667,39.333,25.074,1.56590808,1.18,16.3127659574468,20.424,20.6666666666667,22.8766666666667,2.32933333333333,3.33333333333333
BRS Caipira,2020,3,4.333,9.2,21.333,29.826,2.316192,1.15333333333333,30.131333311499,25.176,26,32.1566666666667,1.86666666666667,3.66666666666667
BRS Caipira,2020,4,5.333,15.167,33.667,26.01,3.2396712,1.03,31.0582790678626,21.36,21.6666666666667,27.1366666666667,2.49766666666667,1.66666666666667
BRS Dourada,2018,1,2.944,2.833,5.967,32.3529411764706,0.784824323529412,1.16,32.1931818181818,27.7029411764706,24.6666666666667,32.6133333333333,1.60666666666667,1.66666666666667
BRS Dourada,2018,2,2.571,3.357,6.429,20.5882352941176,0.535046558823529,0.896666666666667,34.3041079092581,15.9382352941176,21,14.13,1.62333333333333,1
BRS Dourada,2018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRS Dourada,2018,4,3.111,20.667,21.833,38.0952380952381,6.91212735714286,1.88666666666667,48.6282352941177,33.4452380952381,44.6666666666667,46.4666666666667,2.35866666666667,1.33333333333333
BRS Dourada,2019,1,6.667,5.714,14.5,27.7777777777778,1.32152122222222,1.48666666666667,28.2675373503512,23.1277777777778,29.6666666666667,29.83,2.06066666666667,3
BRS Dourada,2019,2,8,6.167,16.833,29.7087378640777,1.54537236407767,1.81,26.8130434782609,25.0587378640777,31,34.8933333333333,2.179,3.66666666666667
BRS Dourada,2019,3,8,7.333,15.667,26.7326732673267,1.61932243069307,1.73,31.8826086956522,22.0826732673267,30.6666666666667,41.7133333333333,2.032,2.33333333333333
BRS Dourada,2019,4,3.5,1.643,7.429,23.728813559322,0.313464906779661,1.99666666666667,18.1106701940035,19.078813559322,17.6666666666667,38.58,2.2045,1.66666666666667
BRS Dourada,2020,1,4,11.367,33.667,23.436,2.13540462,1.38,25.2409290758094,18.786,28.6666666666667,31.05,2.348,1.66666666666667
BRS Dourada,2020,2,7.333,5.367,28.333,16.47,0.6343794,1.29333333333333,15.9258160237389,11.82,34,23.1066666666667,1.84266666666667,3
BRS Dourada,2020,3,4,9.467,35,19.794,1.43368248,0.9,21.2899453527335,15.144,30.6666666666667,26.7766666666667,1.63033333333333,2
BRS Dourada,2020,4,6,6.367,29.5,21.984,1.10365578,0.93,17.751693757493,17.334,24,23.0566666666667,1.89433333333333,2
BRS Formosa,2018,1,3.2,2.9,6.7,26,0.61915,1.02666666666667,30.2083333333333,21.35,17.6666666666667,47.1333333333333,1.7,1.66666666666667
BRS Formosa,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRS Formosa,2018,3,NA,NA,4.25,NA,NA,0.53,NA,NA,NA,NA,1.30466666666667,1.66666666666667
BRS Formosa,2018,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRS Formosa,2019,1,10.667,18.143,16.429,23.3644859813084,3.39536919158879,1.38,52.4788846465348,18.7144859813084,30.3333333333333,24.1533333333333,1.856,4
BRS Formosa,2019,2,7.667,19,19.143,26,4.0565,1.52333333333333,49.8125475185486,21.35,37,53.16,1.77466666666667,4.66666666666667
BRS Formosa,2019,3,8.333,8.786,8.929,22.7722772277228,1.59222327722772,1.19,49.5963872424499,18.1222772277228,21.6666666666667,47.11,1.561,4.33333333333333
BRS Formosa,2019,4,10.667,18,25.429,29.4117647058824,4.45711764705882,2.01,41.4469594050059,24.7617647058823,30.6666666666667,56.9166666666667,1.87866666666667,4.33333333333333
BRS Formosa,2020,1,9,11.8,33.667,24.6529411764706,2.36034705882353,1.34333333333333,25.9528889084391,20.0029411764706,23.6666666666667,34.4166666666667,2.29466666666667,3
BRS Formosa,2020,2,7.333,10.533,27.333,25.134,2.15757972,1.19,27.8165108540643,20.484,23.3333333333333,25.8133333333333,2.356,2.33333333333333
BRS Formosa,2020,3,6.333,16.667,28.333,28.974,4.05408108,1.23333333333333,37.0377777777778,24.324,27.6666666666667,31.3866666666667,2.07366666666667,2
BRS Formosa,2020,4,3.667,13.733,35,19.914,2.09620512,1.27333333333333,28.1800833111034,15.264,21.3333333333333,32.78,2.27766666666667,2.33333333333333
BRS Gema de Ovo,2018,1,1.833,4.5,10.375,34.6534653465347,1.35015594059406,1.01666666666667,30.2521008403361,30.0034653465347,22.6666666666667,28.1333333333333,2.00666666666667,2
BRS Gema de Ovo,2018,2,1.905,3.714,9,39.6039603960396,1.29819008910891,1.08666666666667,29.2118924020765,34.9539603960396,27,35.39,1.40333333333333,1.66666666666667
BRS Gema de Ovo,2018,3,1.267,3.4,8.4,40,1.2019,1.04333333333333,28.8135593220339,35.35,29.6666666666667,27.6866666666667,2.05266666666667,1
BRS Gema de Ovo,2018,4,2.5,0.6,6.6,34.0909090909091,0.176645454545455,0.8,8.33333333333333,29.4409090909091,12,24.84,1.84833333333333,1
BRS Gema de Ovo,2019,1,6.667,5.917,16.333,31.4814814814815,1.58761875925926,1.73,26.5932584269663,26.8314814814815,27,18.4166666666667,2.24533333333333,3
BRS Gema de Ovo,2019,2,6.333,5,13.5,30,1.2675,1.49,27.027027027027,25.35,33.3333333333333,30.9033333333333,2.22933333333333,2.33333333333333
