Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
20/03/2016;10,7;9,7;0;35;30,1;25,7;61,3;50;2,7
21/03/2016;13,3;5,9;0;34,1;29,8;25,3;60,5;51;1,9
22/03/2016;12,4;6,6;0;34,8;30,1;25,5;59,8;50;2,4
23/03/2016;13,4;11,2;0;36,9;30,8;26,1;57;43;2,8
24/03/2016;14,4;8,7;0;35,9;30,7;26,4;58,3;48;2,7
25/03/2016;13,7;9,7;0;35,2;29,9;24,5;58;50;2,5
26/03/2016;13,4;10,4;0;35,7;30,2;25,1;56,8;45;2,6
27/03/2016;13,2;8;0;35,4;30,1;25,3;58;47;2,5
28/03/2016;13,5;10,8;0;35,6;29,7;24,1;57;44;3,3
29/03/2016;14,4;11;0;35,6;30,5;24,7;54,5;46;2,8
30/03/2016;13,3;3,7;0;31,9;27,4;23,5;76,5;51;1,9
31/03/2016;6,6;11,3;7,8;34,2;28,9;23,9;61;52;3,2
01/04/2016;null;9,1;0;33,6;28,3;23,6;64,5;51;1,9
02/04/2016;12,2;7,6;0;33,6;28,3;23,7;62,3;54;2,6
03/04/2016;11,5;9,3;0;34,6;29,1;24,1;58,8;48;2,6
04/04/2016;12,8;9,7;0;34,1;29,1;24,6;58,5;49;2,2
05/04/2016;11,6;4,4;0;34,6;27,7;24,3;70,8;49;3,2
06/04/2016;10,1;7,1;0;34,3;30;25,3;58,8;49;2,5
07/04/2016;11,4;10,9;0;34,8;29,8;24,8;58,5;43;2,7
08/04/2016;11,7;10,7;0;34,8;30;25,1;60;50;2,2
09/04/2016;10,6;11;0;36,8;31,3;25,8;53,3;44;3,4
10/04/2016;14;6,6;0;34,2;30,1;25,1;59;49;2,8
11/04/2016;11,4;9,7;0;35,1;29,9;24,8;57,3;48;2,8
12/04/2016;13,4;8,2;0;35;30,3;25,3;55,5;46;3,1
13/04/2016;13,8;10,9;0;34,6;29,1;22,9;56,3;48;2,2
14/04/2016;15,2;2,3;0;31;27,2;24,1;76,3;54;2,4
15/04/2016;6,4;9,5;2,7;33,8;28,5;23,3;61,3;49;3,3
16/04/2016;12,6;9,1;0;33,6;28,8;23,2;57,5;48;3,2
17/04/2016;13,5;10,9;0;34,6;28,5;21,5;57,5;42;4,1
18/04/2016;13,9;5,4;0;31,8;28,6;24,3;61,3;60;4,1
19/04/2016;11,8;9,5;0;33,6;27,9;22,1;59;47;3,5
20/04/2016;12,6;9,6;0;33,4;27,9;22,3;55,5;44;3,3
21/04/2016;13,4;8,8;0;33,6;28,2;22,9;55;48;3,2
22/04/2016;13,8;11;0;34,2;28,8;23,5;56,8;49;2,5
23/04/2016;13,5;10,9;0;34,2;28,8;24,4;54,5;45;2,8
24/04/2016;13,6;11;0;33,8;28,3;23,4;58,5;46;2,9
25/04/2016;12,8;9,3;0;34,1;29;23,3;55,8;45;2,5
26/04/2016;13,7;10,9;0;35,2;29,3;23,5;54,8;44;2,8
27/04/2016;12;10,9;0;35,5;30;24,3;57,8;51;2,5
28/04/2016;12,5;10,8;0;35,5;30,4;25,1;56,8;47;2,9
29/04/2016;13,6;10,4;0;34,6;29,4;24,5;58,3;48;2,8
30/04/2016;14;8,1;0;34,4;29,5;24,9;57,8;47;2,5
01/05/2016;12,6;10,3;0;35,4;29,9;24,1;55,8;48;2,2
02/05/2016;14,5;10,6;0;34;28,9;23,9;56,3;47;2,9
03/05/2016;13,6;2,5;0;30,8;26,4;24,7;75,8;53;3,5
04/05/2016;7,9;10,4;0;33,3;27,5;23;63,5;49;3,4
05/05/2016;12,1;10,5;0;33,4;28;21,9;57,5;48;3,1
06/05/2016;13,1;10,5;0;33,6;28,5;23,1;54,5;44;3,6
07/05/2016;13,9;9,2;0;33,9;28,6;23,1;55;45;3,3
08/05/2016;13;10,5;0;33,2;27,9;22,3;55;43;3,6
09/05/2016;13,3;10,9;0;33;27,5;21,8;59,5;46;3,5
10/05/2016;13,1;6,2;0;32,1;27,5;22,3;63,3;55;2,7
11/05/2016;10,5;7,5;0;34,2;28,9;24,1;60;54;3,3
12/05/2016;11,2;10;0;33,8;28,6;23,1;58,5;52;2,6
13/05/2016;11,5;9,7;0;34,6;28,5;22,9;55,8;41;2,2
14/05/2016;13,4;10,9;0;34,8;28,3;23,2;57,8;42;3,4
15/05/2016;12,6;8,5;0;32,9;27,3;23,8;68,5;53;4
16/05/2016;10,3;6,4;,2;31,8;26,6;22,8;71,3;61;2,7
17/05/2016;9,2;10,9;0;34,9;28,7;22,5;61,8;52;3
18/05/2016;11,7;10,1;0;34,4;29;23,6;59,3;50;2,1
19/05/2016;12,1;8,4;0;33,6;28;23,7;60,3;50;2,9
20/05/2016;13,1;10,3;0;32,5;27;21,8;56,3;44;2,8
21/05/2016;13,4;10,7;0;33,6;28;21,8;57,3;46;2,8
22/05/2016;12,1;11;0;33,6;27,7;22,8;57;40;2,5
23/05/2016;13,5;9,6;0;34,2;29;22,6;60,5;49;2,4
24/05/2016;12,7;6,6;0;33,8;28,2;26;70,8;55;2,8
25/05/2016;8,1;2,4;0;29,6;25,2;23,5;79,3;66;3,3
26/05/2016;6,3;4;0;29,3;25,2;22,6;74,3;64;2,8
27/05/2016;7,3;8;0;30,1;25,7;22,6;71,5;59;3,4
28/05/2016;7,7;10;0;31,9;27,2;22,5;64,8;54;2,9
29/05/2016;9,7;9,5;0;32,4;26,6;22,4;68,8;56;3,8
30/05/2016;8,2;2,7;0;30,2;26,3;23,2;73,3;66;2,5
31/05/2016;8,2;8;0;31,7;26,6;23,1;68,8;56;3
01/06/2016;8,6;10,8;0;33,2;27,2;22,1;60,8;45;2,2
02/06/2016;12,1;9,6;0;33;27,2;21,5;59,8;48;2,2
03/06/2016;10,4;9,1;0;33,4;27,5;21,9;63,5;52;1,7
04/06/2016;10,4;8,4;0;35,2;29,3;23,7;56,5;44;2,7
05/06/2016;14,1;9,3;0;33,8;28,8;23,7;61,8;51;2,8
06/06/2016;12,1;10,6;0;34,1;28,6;23,4;56,5;47;2,2
07/06/2016;11,7;10,5;0;34,2;28,5;22,6;61,5;49;2,4
08/06/2016;10,5;10,6;0;35,2;29;22,3;56,5;46;1,7
09/06/2016;13,6;9,8;0;34,4;28,2;22,8;61,5;49;2,6
10/06/2016;11,5;8,8;0;32,8;27,4;22,7;63;51;1,1
11/06/2016;11,3;10,7;0;34;27,8;21,5;59;50;2,6
12/06/2016;13;10,8;0;32,6;27,3;22,5;58;45;2,9
13/06/2016;12,1;10,7;0;32,4;26,7;21,5;56,8;43;2,8
14/06/2016;13,8;9,5;0;31,4;25,2;21,9;65,3;51;3,9
15/06/2016;10,7;10,2;0;29,6;24,7;20,5;68,5;54;3,3
16/06/2016;9,7;9,6;0;30,6;26,3;24,5;65;54;3,8
17/06/2016;11,5;1,3;0;27;24;22;73,8;64;3,6
18/06/2016;7,1;7,4;0;29,7;24,7;21,9;72,3;57;2,8
19/06/2016;8,2;9,7;0;30,6;24,3;21,3;81;60;2,2
20/06/2016;7,4;10,6;1,2;30,6;25,2;20,1;63;49;3,3
21/06/2016;10,7;10,3;0;31;25;20,4;66,3;47;3,7
22/06/2016;11,3;1,6;0;28,2;24,2;22,1;73,8;63;4,2
23/06/2016;7,9;10,1;0;31;25,5;20,6;63,5;52;3,2
24/06/2016;11,1;10,7;0;30,2;24,9;20,2;64,8;54;2,5
25/06/2016;10,2;7,6;0;30,3;24,8;20,9;68,3;54;4,8
26/06/2016;9,9;5,4;0;30;23,8;21,5;74;58;4,4
27/06/2016;8,4;4,1;0;27,4;24,4;20,1;67;60;3,9
28/06/2016;8,8;8,7;0;29,6;24,5;19;61,5;53;3,9
29/06/2016;10,7;9,4;0;30,8;25,1;20,5;63,8;46;2,8
30/06/2016;11,6;10,2;0;30,6;25,3;21,3;63,5;49;4,9
01/07/2016;11;8,8;1;30;24,7;20,4;68,5;52;3,3
02/07/2016;8,5;5,6;0;29,4;24,8;21,1;63,3;58;3,7
03/07/2016;9,9;9,2;0;30;25,1;20;65,5;52;2,8
04/07/2016;11,1;9,7;0;30,2;25,4;20,5;64,8;52;3,5
05/07/2016;11,3;9,7;0;30,7;24,1;20,9;74;53;4,1
06/07/2016;8,5;8;0;30;25,2;20,7;64,3;54;2,5
07/07/2016;9,3;10,9;0;31,8;26,2;21,4;62;48;3,1
08/07/2016;10,2;8,6;0;32,6;26,4;21,3;64,3;50;2
09/07/2016;11,4;10,5;0;31,4;26,2;21,4;59;46;3,8
10/07/2016;11,8;9,8;0;29,5;24,4;21,5;70;59;3,4
11/07/2016;9,2;10,4;0;31,2;25,4;21,2;64,5;52;2,7
12/07/2016;11,1;10,4;0;31,4;26,2;21,1;58;48;2,9
13/07/2016;10,9;10,8;0;32,2;26;20;57,5;46;2,5
14/07/2016;11,6;10,8;0;31,4;25,6;20,4;61;47;2,8
15/07/2016;11,5;10,8;0;31,8;26,2;20,9;57,3;45;2
16/07/2016;12,3;10,9;0;32,4;25,8;19,9;60,5;45;2,3
17/07/2016;8,7;10,8;0;34,2;26,4;20,8;59,3;39;1,7
18/07/2016;11;10,8;0;34,6;28,1;21,8;49,3;39;2,7
19/07/2016;14,5;10,9;0;32;26,4;21,1;55,5;43;3,1
20/07/2016;12,5;10,8;0;31,4;25,7;19,9;59;47;2,5
