Clone,NR.P,PTR,PPA,MS,PROD.AMD,AP,HI,AMD,Porte,RF,CR,DR,DCaule,Ácaro,Nº Hastes,Stand_Final,Branching_Level,Staygreen
BGM-0106,0.130805736309317,0.337206264623143,-0.70754507418891,1.94171010095826,0.0927953345285553,0.0141184008922185,3.37628295201612,1.87480206310454,-0.19285223100606,-0.133625849293388,-1.00273868427065,0.456671255439731,-0.0845689184341156,-0.235016583932505,0.333631341929057,0.0910754468986965,-0.0193398925200999,0.0242331057349505
BGM-0115,0.688010401659217,-0.414984893727014,1.0635905829389,NA,NA,0.134511090106346,-4.34361635786816,NA,NA,-0.0402351864808562,1.7060278015383,-0.0148811717302984,0.0977437949522376,-0.0737998910139615,NA,NA,NA,NA
BGM-0116,0.0491285883572423,-1.10194524858032,1.6597301947703,4.27070559277386,-0.186004633632432,0.138561833455267,-6.19911352419036,4.29388428518781,-0.127057576529153,0.039894864076743,1.69085210311082,-2.3713064395778,0.168348795647345,0.00984879103316656,-0.152894502977229,0.258519062415498,0.41778986217253,-0.00172251768350808
BGM-0118,-2.11256514641245,-1.99809146308292,4.77967063776617,4.22709612073476,-0.422753988598776,0.169808557077362,-11.8876031753526,4.25224343577903,-0.127057576529153,0.0398948640767431,-2.6851305003522,-3.78022475739967,0.123712474565203,0.00984879103316656,-0.210635695439035,0.585022253545266,0.41778986217253,-0.00172251768350808
BGM-0124,-0.490484008201609,-0.300169562584946,0.130149334383419,0.528196417123421,-0.10898159837171,0.0297628325897699,0.528739104826748,0.517814211942302,0.133212693830099,0.0970017385048559,-0.261869699420458,2.06145168320167,-0.00894522532462244,0.120742297912943,-0.127489324503665,0.344302720379179,-0.0193398925200999,0.0242331057349505
BGM-0128,-0.220804481363694,-1.1406360057779,0.870137675037892,-0.78797118738998,-0.29388012686072,-0.132243104602888,-4.09304337996665,-0.762564321853583,1.34023458523356,-0.064668645331853,-2.30695916425046,0.308446839335894,0.0806384247209357,0.00984879103316656,0.135811459331804,-0.394487319844041,0.41778986217253,-0.00172251768350808
BGM-0130,-0.333222909063306,0.810291402271924,-1.97830535517033,-0.313045281293326,0.153467214549667,0.110899588629971,10.6037434498521,-0.328832486678552,-0.687035658759352,-0.0452661946428365,-1.2341828679316,3.43596891396714,0.0202013354136951,-0.191886182031745,0.318048208890889,0.0274847345736886,-0.221055786955871,0.0036700204963333
BGM-0134,1.29088665399919,1.37988560385973,1.51603270412915,2.21205727639563,0.579798932013646,0.0702468555425923,5.22567076766446,2.19617788471489,-0.390995134250189,0.392666446034646,0.173344038622511,2.54754021963812,0.0557251618183294,-0.136894743399635,0.434344519116253,0.241128771801732,0.000441502919387573,0.0036700204963333
BGM-0143,-0.828964498054785,0.268542062741529,2.84222899227382,2.16274761009351,0.121278114729659,0.0227651517969159,-0.922290780651144,2.18800176371819,-0.779187426201471,-0.064668645331853,-1.28049410911716,-0.14441976282113,-0.0504249730565039,0.134108467706335,0.19355265179361,0.258519062415498,-0.377524803799839,-0.00172251768350808
BGM-0156,-0.896447765485018,1.25534603185412,5.9997590791612,1.95717333782576,0.33645880243725,0.0870966416071111,-0.96670718003232,1.98243813076997,0.688104735561244,-0.064668645331853,4.6621983153388,2.0982645861038,-0.00785308182441071,0.00984879103316656,0.366776229179029,0.421770657980382,-0.377524803799839,-0.00172251768350808
BGM-0163,1.45857651135458,0.259503540139524,6.69661500326459,1.10493117389688,0.0289666585359789,-0.132363173100358,-4.25713892955769,1.0911952900618,-0.518917155842218,-0.13098209275273,-1.73050124375439,0.350815014082148,NA,0.0440099655231706,0.0291237664909074,-0.226677236346588,-0.416997225506284,0.00566511776553514
BGM-0164,3.57688545353659,2.81247683140447,10.5484298711037,-0.733192037200983,0.77508659305119,0.202704245146908,-0.219448648248562,-0.723204481924543,-0.498397839003819,0.21970646656708,4.17399163396882,1.00075300951891,0.0595968474378377,-0.207742228815901,1.36116665223536,0.536726110701714,-0.0447378529631651,-0.00722648628069369
BGM-0167,-1.31461991224113,0.198096911621766,0.319713885038277,-0.0999711055771935,0.0296578499825855,0.000953946753021093,3.25394968561123,-0.0745998468928762,-0.779187426201471,-0.000239958706325921,-2.36391390045776,2.1063938346501,-0.0516974228572778,0.041356558214635,-0.268376887900842,0.0952674668506128,-0.377524803799839,-0.00172251768350808
BGM-0168,-0.0158538215685537,0.158429326748331,6.33963854413549,-4.28794515177847,-0.233064208417486,-0.072645828966926,-1.28061815103788,-4.35088625886082,0.133212693830099,0.0904064392864367,1.53831625859063,1.06270224328623,0.135576638076671,-0.327967285622433,0.0130126924614984,0.317757287333101,-0.0193398925200999,0.0799370696431968
BGM-0170,2.27229406646578,3.84145419267615,-0.315738399475326,0.260894393063156,0.876675984366098,0.0246784034329323,15.8984040416842,0.25088974542554,-0.0031293424662383,0.100188005167374,3.52873961268074,3.93149612622939,-0.150917682943547,0.0339719514417892,0.752186032135296,-0.288879090018253,-0.121487028941897,0.0251066059218852
BGM-0178,-0.828761845600039,-0.575826814923139,8.80869246850715,1.53216038762756,-0.110479057577037,0.159392982536664,-8.39934898978751,1.5574471767512,-0.453122501365312,-0.064668645331853,2.71731715824412,-0.153781346328257,0.230672258958286,0.134108467706335,0.0780702668699968,0.258519062415498,-0.377524803799839,-0.00172251768350808
BGM-0208,-1.23426940754568,-0.991183473073549,3.0749067879822,-0.0236124080378757,-0.241169463143465,-0.0354395294599273,-6.13561603286038,0.00175489876776789,1.66629951006972,-0.064668645331853,-0.200004577397894,-0.0519741256883021,0.229667941733938,0.00984879103316656,-0.210635695439035,0.421770657980382,-0.377524803799839,-0.00172251768350808
BGM-0216,-0.591552557318102,0.649695157406892,3.61249639514293,-1.11093406987096,0.405143553261622,0.126247458308952,-3.74685582118014,-1.1928468839066,-0.19285223100606,-0.0638426348374537,-0.733128613495152,-1.07078581259262,0.18020590591632,0.113686140516849,0.54657934559796,-0.0793971910292987,0.378317440466084,-0.0129028702038802
BGM-0220,1.46110076951333,2.92936475291923,10.2441756131496,-0.977359379939764,0.471008819299619,0.0328993268361457,2.79958085638729,-0.974283542524059,0.80179637705905,-0.163048577329037,2.65115246017185,3.51978150259945,0.0518534730417856,0.0153690385375184,0.442222000102637,0.0736764941457048,-0.315520497293945,0.00632545112412614
BGM-0222,0.717974217961775,2.0188043347548,5.20443335754907,2.62727727724609,0.540421689880449,0.00777941176740306,3.70666349379536,2.63016655979407,0.475731452222891,0.046078441488155,3.51554408554726,5.36167305762572,0.153959057517186,-0.10889063813565,0.0380336528699921,-0.252826696984064,-0.315520497293945,0.00632545112412612
BGM-0235,-0.448431158803146,-1.66131548673833,-2.30030960462798,-2.61289664408737,-0.55518750588077,0.214268316041459,-4.22512150906357,-2.67594732070598,-0.0298197685879801,-0.0289650196824958,1.28042026385995,-5.2448137217105,-0.0545291374686858,0.131606345579901,-0.111524011154134,-0.345348043286411,-0.0193398925200999,0.00566511776553514
BGM-0236,0.429588055739237,2.70053828306124,2.79545315493952,2.76124496315179,0.727005297775798,0.149992157318975,9.99792356832663,2.74340397164125,-0.390995134250189,-0.0182243643253228,3.15305402482398,3.87626330594389,0.123939105323613,-0.0968339844889505,-0.283958385764954,0.147749566016861,0.000441502919387573,0.0209542732751212
BGM-0237,2.06885548129493,1.37395838146192,6.77920843879198,4.9272904770231,0.551741727687269,0.253464434756815,1.26316318257567,4.93006072436751,0.63876391464097,-0.0584850679204412,6.27079239143138,-0.682399294159974,0.0782446978816023,-0.10889063813565,0.442222000102637,-0.0895751014191792,-0.315520497293945,-0.0122425368452893
BGM-0247,0.575576670716006,0.609561982159192,2.11593776764278,0.62494130549144,0.183419016832354,-0.188275731180402,0.0501799020144058,0.608031178815708,-0.292314959413801,-0.064668645331853,-0.970815884940819,-3.84042923505853,-0.15899888323407,-0.0732192516646543,0.364300431124343,-0.44896720331041,-0.110307142018242,0.0209542732751212
BGM-0249,-1.02574812983671,-2.29793825288719,-5.07953950170498,2.04080208949215,-0.458181713156898,-0.174859525027476,-5.3674645649536,2.04160145128313,-0.463610763807329,-0.0300375449211935,-1.55363758843609,-1.93903395472613,-0.379189169222817,0.154700179168068,-0.233871367732267,-0.696734591377512,-0.296609556838977,-0.00989986593738196
BGM-0254,0.63085366567852,-0.907613190028739,0.0721079233884082,1.35983082877694,-0.605470405645481,0.0745956603515952,-2.33308569489406,1.27769844879101,-0.0298197685879801,0.0592833817317385,0.738769159186775,-0.4490860816454,-0.0274534727248369,-0.272731945212123,0.119440758693091,-0.182096447721527,-0.218168559013192,0.00566511776553514
