"ID_Clone","FRY","HI","N_Roots","Plant.Height","Root.Di","Root.Le","ShY","Stem.D","DMC","Nstem.Plant","StC","StY","pesos"
"Alagoana363.250437472",103.762877582222,246.332351305916,63.3789451600068,5.80209507017622,147.785264361233,117.678077996834,161.151115280745,10.5430815238597,NA,NA,NA,NA,856.433808280992
"Arari424.250437476",107.254181815101,259.061545270603,66.694899318673,5.88066919694256,150.142924709035,118.161576173189,153.5891313485,10.5347931212104,NA,NA,NA,NA,871.319720953254
"BGM_2042",120.814582155589,260.927194153534,69.7577013262665,6.06876234508804,146.711210652846,121.094192789383,159.557935644756,10.8702241374098,442.468522875257,11.3149681748897,248.717951706263,17.9375687518514,1616.24081471313
"BGM0290.250581760",110.468119608624,264.12942976735,64.4723650782983,5.83369235202459,148.900775395835,118.227418567506,135.013490560192,10.5786822417867,NA,NA,NA,NA,857.623973571616
"BGM0368.250437186",90.3394165806289,251.433895907342,66.0550071972427,5.92222850869175,141.85260106551,113.343725486552,117.392647455209,10.3680732319801,445.149211928722,10.5440702721985,250.440661961331,14.7674346286439,1517.60897422405
"BGM0424.250437187",95.6295332056232,246.103150199977,62.1083606472921,5.96781734145074,142.479516124342,113.883542534358,128.487930596209,10.4819930799382,436.98172296087,10.3724523244837,245.119992515879,15.0653538538404,1512.68136538426
"BGM0611.250437190",95.4308651744729,240.799219488286,64.355190970017,5.70273930795459,143.48638013808,116.431137240185,136.023112600857,10.2135478702349,422.914648314655,10.8610697241832,235.624993072929,14.5665293988139,1496.40943330067
"BGM0649.250437198",88.4538423027155,235.809163414948,59.5751425365091,5.80350671874535,142.360288441346,114.634919799605,133.56908470358,10.3482043213795,NA,NA,NA,NA,790.554152238827
"BGM0652.250437861",97.5497202084964,241.634293101983,63.2461690022676,5.81318152719674,142.41758844885,115.32295874323,142.421489873035,10.4585393508674,433.778206671962,10.812003896681,242.807631758244,14.8411837957474,1521.10296637856
"BGM0699.250437199",91.752546900732,236.889975683635,59.4404820982717,5.91167144713981,142.736326011603,115.375824944631,136.833692329922,10.7175557690086,433.059740910175,10.3620802097194,242.179363863011,14.2662466535977,1499.52550682145
"BGM0834.250437194",96.562125659099,245.11431243133,63.2959268116438,5.91715349590521,145.844504329048,115.247492359727,138.873253269641,10.5716705291328,NA,NA,NA,NA,821.426438885527
"BGM0914.250437205",86.9742510988917,235.45395872425,58.7562741409261,5.87657591236162,141.280707258696,113.964240743897,128.594607701273,10.5050457802828,420.335363922517,10.3858977176988,233.817662473406,13.9639682883848,1459.90855376259
"BGM0915.250437213",98.246387812981,239.442743426433,66.8835841626753,6.08293785025583,146.320640546345,115.31300845168,143.210208822752,10.6445016967925,433.570708052119,11.022319347184,242.739916672404,14.9842071045408,1528.46116394616
