trait,Clone,BLUP,BLUPS_mean,drgBLUP_mean
HI,HI.BGM-0084,-1.53583246178965,23.0200984610428,20.3189481208037
HI,HI.BGM-0089,-7.47139994147771,17.0845309813547,1.9462250406913
HI,HI.BGM-0091,-1.82009650670523,22.7358344161272,19.7719719735668
HI,HI.BGM-0096,5.75546771688247,30.3113986397149,39.7248829035224
HI,HI.BGM-0106,1.45889339186639,26.0148243146988,28.5833352607629
HI,HI.BGM-0115,-1.71059580850036,22.8453351143321,20.0638723551992
HI,HI.BGM-0116,-3.42471432426808,21.1312165985643,15.5440601648382
HI,HI.BGM-0118,-6.07439786116657,18.4815330616658,8.58088648251024
HI,HI.BGM-0124,0.457727464034724,25.0136583868671,25.8193682995001
HI,HI.BGM-0128,-2.8919024880531,21.6640284347793,16.9537127219806
HI,HI.BGM-0130,5.96474836507136,30.5206792879038,35.9143950733361
HI,HI.BGM-0134,2.99755435051667,27.5534852733491,29.2992545381551
HI,HI.BGM-0143,-0.607113165301231,23.9488177575312,22.9550662929718
HI,HI.BGM-0156,-0.704635791892779,23.8512951309396,22.7014182234025
HI,HI.BGM-0163,-1.90907404813683,22.6468568746956,17.2749553851229
HI,HI.BGM-0164,0.0792301943648686,24.6351611171973,24.669188009124
HI,HI.BGM-0167,1.56578280674412,26.1217137295765,27.3969175587648
HI,HI.BGM-0168,-1.1080769070653,23.4478540157671,21.4911586786448
HI,HI.BGM-0170,11.4170661987705,35.9729971216029,40.6349825877094
HI,HI.BGM-0178,-4.22782460453172,20.3281063183007,13.4298378200944
HI,HI.BGM-0208,-3.7439419749634,20.811988947869,14.7025183021994
HI,HI.BGM-0216,-1.76630331474606,22.7896276080864,21.1936965941714
HI,HI.BGM-0220,0.628413292501826,25.1843442153342,26.2059535594982
HI,HI.BGM-0222,1.6860155086748,26.2419464315072,28.9835030971687
HI,HI.BGM-0235,-1.94614589726894,22.6097850255635,19.174968707071
HI,HI.BGM-0236,5.74268888012468,30.2986198029571,35.165157734859
HI,HI.BGM-0237,0.172212619913736,24.7281435427462,25.0082114885326
