"ID_Clone","Trait","Bayes A","Bayes B","G-BLUP","G-BLUP-DOM","RF","RKHS","RR-BLUP","BLUP"
"Alagoana363.250437472","FRY",5.14704800497487,5.13621250303465,5.18814387911108,5.2558965897491,5.27587702687534,5.43211112300718,5.22513493174733,4.98062325289834
"Alagoana363.250437472","HI",24.6070302913719,24.5685473365855,24.6332351305916,24.6720483917186,24.7234544247525,24.4444911847843,25.1659278625619,24.5572306370837
"Alagoana363.250437472","N_Roots",4.15430144998064,4.17822445880935,4.22526301066712,4.24389658733624,4.19389830005624,4.44380972555002,4.42666992442094,3.95883365657971
"Alagoana363.250437472","Plant.Height",1.16101150520395,1.16126118506287,1.16041901403524,1.16558678660953,1.16537472967409,1.1878930930485,1.17596640161188,1.17098757055992
"Alagoana363.250437472","Root.Di",29.6093646734015,29.596120439158,29.5570528722466,29.5686933947482,30.0039568043007,29.7493107631576,29.8965319576206,30.2096942275816
"Alagoana363.250437472","Root.Le",23.5636175737545,23.558955952993,23.5356155993668,23.5342168193346,23.4947752400222,23.8509653388388,23.866019411119,23.341948412291
"Alagoana363.250437472","ShY",16.0563408103526,16.041330687803,16.1151115280745,16.239004815809,16.436991878535,16.9075631842909,16.5371974903646,14.3518725932988
"Alagoana363.250437472","Stem.D",2.10619437962823,2.10705821097895,2.10861630477195,2.10818838004297,2.10398734062238,2.13472589227477,2.12058790269192,2.09562472539125
"Arari424.250437476","FRY",5.30042065290576,5.29760191908338,5.36270909075504,5.23874811003164,5.06883607621669,5.48469571026801,5.38457391827722,4.6204227781831
"Arari424.250437476","HI",26.2951406566874,26.1594759932841,25.9061545270603,25.967573197868,27.0253072650278,25.9324142123564,26.0147582157106,25.0774721126956
"Arari424.250437476","N_Roots",4.47837359794387,4.46372890599748,4.44632662124486,4.41520491457752,4.53944250892679,4.67086519721835,4.51442062476425,3.79847974928053
"Arari424.250437476","Plant.Height",1.17221616882971,1.1715711932115,1.17613383938851,1.17090252577331,1.15657554473979,1.20116581477493,1.17908850786423,1.19186289342112
"Arari424.250437476","Root.Di",30.1775501138976,30.1800842890954,30.028584941807,30.0238875363487,30.1342652172716,30.2674637414727,29.9070619269857,28.903794299615
"Arari424.250437476","Root.Le",23.6310028468066,23.6285517926763,23.6323152346378,23.490121513211,23.4443812824261,24.0176972065938,24.1647394874749,22.5690883951428
"Arari424.250437476","ShY",15.3238286414568,15.273030984012,15.35891313485,14.9791166875545,14.3027207838059,16.1997230397798,15.7087073721029,12.5708925672259
"Arari424.250437476","Stem.D",2.10401550854876,2.10381043623187,2.10695862424209,2.09870729351538,2.08745735163768,2.13557876261142,2.13628025230648,2.07250550265345
"BGM_2042","DMC",29.5019128751187,29.4804057158111,29.4979015250171,29.4978631976074,29.2034460239184,29.9434155014743,29.762067871249,28.8765159101395
"BGM_2042","FRY",6.05542464965437,6.06878196655983,6.04072910777943,6.20647627413035,6.39576395454299,6.32373760734917,5.96261736164312,3.91715666730284
"BGM_2042","HI",26.2673749093841,26.2233095082768,26.0927194153534,26.3565250603702,27.657466179334,25.906370234867,25.7568266263962,20.5679202245537
"BGM_2042","N_Roots",4.66761276910829,4.62950755046509,4.6505134217511,4.75679710677147,4.9378543548234,4.92790289250937,4.89712547916195,3.26067545950904
"BGM_2042","Nstem.Plant",2.29603454700277,2.32200651654207,2.26299363497794,2.29355487044947,2.45004651779485,2.37460361625294,2.2632284139224,2.1657465242363
"BGM_2042","Plant.Height",1.21219351946244,1.21170874638066,1.21375246901761,1.21042176895782,1.19064230877097,1.22968634823556,1.21974971368332,1.22799937749232
"BGM_2042","Root.Di",29.2929862048751,29.263773510289,29.3422421305692,29.3422917452222,29.7167588707446,29.4529282987543,29.50628532928,25.3754270719546
"BGM_2042","Root.Le",24.2142910286838,24.1975370344065,24.2188385578766,24.1487754467724,23.9538306070015,24.5806180278561,24.5163086386361,22.7257570426532
"BGM_2042","ShY",15.9461422158853,15.8891287875957,15.9557935644756,16.1053483515485,16.4153648525019,16.7664889298164,16.0338109212435,12.4768374380954
"BGM_2042","StC",24.8744000087494,24.851820458149,24.8717951706263,24.8717515416208,24.4978250394061,25.3035604935786,24.9814091553562,24.2422544349631
"BGM_2042","StY",1.78014369518539,1.79499498052692,1.79375687518514,1.84541485080421,1.89064584794868,1.89163079052312,1.74621001175757,1.31407030813714
"BGM_2042","Stem.D",2.17195552947629,2.17215169495223,2.17404482748196,2.1653247467838,2.15921929983318,2.19188943484265,2.19909894970767,2.08863931144931
"BGM0290.250581760","FRY",5.51955859268112,5.52474478286271,5.52340598043118,5.58050729578572,5.6756150341187,5.68147905161277,5.59280724486643,4.52383769605995
"BGM0290.250581760","HI",26.676201603883,26.6401714388098,26.412942976735,26.4666475825766,27.3237270607713,25.8833863334462,26.8830434023229,22.5907300663526
"BGM0290.250581760","N_Roots",4.28037411750543,4.26736353351241,4.29815767188655,4.38322373725424,4.24637583195407,4.53530998693128,4.37925682767746,4.34439639429418
"BGM0290.250581760","Plant.Height",1.16622825593563,1.16481662021816,1.16673847040492,1.18860924530982,1.19210874286356,1.21784965066605,1.17785445194335,1.11699345562939
"BGM0290.250581760","Root.Di",29.861152601293,29.9085264546307,29.780155079167,29.7872632835295,29.5858877234993,29.8042195569321,29.8612467431247,27.7997876618753
"BGM0290.250581760","Root.Le",23.7098796842201,23.7482139165521,23.6454837135012,23.7837357886159,23.6647040627176,24.0865248296983,24.1090240922741,21.596134633846
