Clone,Ano,Bloco,row,col,fitted,residuals,trait
BGM-0287,2017,4,5,54,7.02769517755377,0.64230482244623,N_Roots
BGM-0290,2017,1,15,24,4.4453053648488,0.954694635151202,N_Roots
BGM-0290,2017,2,10,24,4.55882699370058,0.108173006299423,N_Roots
BGM-0290,2017,3,7,35,4.76715231298862,-0.0971523129886158,N_Roots
BGM-0290,2017,4,1,18,3.90633090920963,-0.906330909209632,N_Roots
BGM-0323,2017,1,15,25,5.05515557646826,1.51584442353174,N_Roots
BGM-0323,2017,2,9,44,5.39159573743862,1.27840426256138,N_Roots
BGM-0323,2017,3,5,24,5.5693823836559,-1.5693823836559,N_Roots
BGM-0323,2017,4,4,48,5.03710200542618,0.25289799457382,N_Roots
BGM-0324,2017,1,15,26,6.41564123840025,0.784358761599754,N_Roots
BGM-0324,2017,3,6,33,6.04417845724293,-1.21117845724293,N_Roots
BGM-0324,2017,4,3,19,5.91102667654547,1.83897332345453,N_Roots
BGM-0362,2017,1,15,28,7.36805100605394,1.06194899394606,N_Roots
BGM-0362,2017,2,9,20,7.56405640510941,1.26894359489059,N_Roots
BGM-0362,2017,3,5,21,7.24130724272112,1.58869275727888,N_Roots
BGM-0362,2017,4,2,23,6.92214910834577,0.277850891654228,N_Roots
BGM-0389,2017,1,15,29,3.9745807779992,0.358419222000803,N_Roots
BGM-0389,2017,2,11,39,4.17212928863927,-0.842129288639267,N_Roots
BGM-0389,2017,3,8,30,4.27537586900726,1.05462413099274,N_Roots
BGM-0389,2017,4,4,52,3.63787386251976,-0.804873862519762,N_Roots
BGM-0396,2017,1,15,30,6.41334729003147,1.25665270996853,N_Roots
BGM-0396,2017,2,9,30,6.52686891888325,-0.693868918883251,N_Roots
BGM-0396,2017,3,6,2,6.20997348409564,0.95702651590436,N_Roots
BGM-0396,2017,4,1,20,6.16748209169206,-0.367482091692064,N_Roots
BGM-0420,2017,1,15,31,3.03110042100127,0.968899578998733,N_Roots
BGM-0420,2017,2,10,36,3.20881279610249,-0.37581279610249,N_Roots
BGM-0420,2017,3,6,42,3.32345302497318,-1.92345302497318,N_Roots
BGM-0441,2017,1,15,32,4.36576833611552,1.43423166388448,N_Roots
BGM-0441,2017,2,10,10,4.55874212806761,1.04125787193238,N_Roots
BGM-0441,2017,3,5,35,4.80350544506828,-1.13350544506828,N_Roots
BGM-0441,2017,4,3,51,3.68155722667778,-1.35155722667778,N_Roots
BGM-0442,2017,1,15,33,5.90574392854209,0.0942560714579113,N_Roots
BGM-0442,2017,2,11,43,6.15288860743759,-0.352888607437593,N_Roots
BGM-0442,2017,3,6,9,6.18841471185844,1.64158528814156,N_Roots
BGM-0442,2017,4,2,6,6.16796502150884,0.00203497849116374,N_Roots
BGM-0489,2017,1,15,34,2.66550801063256,0.167491989367445,N_Roots
BGM-0489,2017,2,10,51,2.2806447968377,0.469355203162303,N_Roots
BGM-0489,2017,3,7,30,2.89453215687661,-1.22753215687661,N_Roots
BGM-0489,2017,4,3,17,2.30649424634862,0.19350575365138,N_Roots
BGM-0514,2017,1,15,35,5.19556118983667,-0.795561189836669,N_Roots
BGM-0514,2017,2,11,26,5.33490956602726,0.165090433972741,N_Roots
BGM-0514,2017,3,7,27,5.13286089664131,1.86713910335869,N_Roots
BGM-0514,2017,4,3,7,4.59965518151518,-0.766655181515178,N_Roots
BGM-0523,2017,1,15,36,3.49979409425964,2.00020590574036,N_Roots
BGM-0523,2017,2,9,38,3.56991155237541,-1.73691155237541,N_Roots
BGM-0523,2017,3,5,32,3.59496022555272,0.405039774447281,N_Roots
BGM-0523,2017,4,4,50,3.0910166956006,-1.2610166956006,N_Roots
BGM-0536,2017,1,15,37,6.2172446451793,-1.0472446451793,N_Roots
BGM-0536,2017,2,9,1,5.70777185582027,-0.707771855820269,N_Roots
BGM-0536,2017,3,6,15,6.11455662152004,1.38544337847996,N_Roots
BGM-0536,2017,4,4,30,5.93378366384409,1.73321633615591,N_Roots
BGM-0537,2017,1,15,38,2.85006120175132,-0.68306120175132,N_Roots
BGM-0537,2017,2,11,11,2.91366807979333,-1.08066807979333,N_Roots
BGM-0537,2017,3,5,11,2.8922488526382,1.9377511473618,N_Roots
BGM-0537,2017,4,2,21,2.57503413247805,-1.24503413247805,N_Roots
BGM-0555,2017,1,15,39,8.3134614335293,1.1865385664707,N_Roots
BGM-0555,2017,2,11,24,8.44183886675029,-1.60883886675029,N_Roots
BGM-0555,2017,3,6,30,8.53022964274908,1.30277035725092,N_Roots
