"ID_Clone","FRY","HI","N_Roots","Plant.Height","Root.Di","Root.Le","ShY","Stem.D","DMC","Nstem.Plant","StC","StY","pesos"
"Alagoana363.250437472",99.6124650579668,245.572306370837,59.3825048486957,5.85493785279958,151.048471137908,116.709742061455,143.518725932988,10.4781236269563,NA,NA,NA,NA,832.177276889606
"Arari424.250437476",92.4084555636621,250.774721126956,56.9771962392079,5.95931446710562,144.518971498075,112.845441975714,125.708925672259,10.3625275132672,NA,NA,NA,NA,799.555554056247
"BGM_2042",78.3431333460568,205.679202245537,48.9101318926356,6.13999688746159,126.877135359773,113.628785213266,124.768374380954,10.4431965572466,433.147738652093,10.8287326211815,242.422544349631,13.1407030813714,1414.32967458721
"BGM0290.250581760",90.4767539211989,225.907300663526,65.1659459144127,5.58496727814693,138.998938309377,107.98067316923,132.902101164925,11.2910351302042,NA,NA,NA,NA,778.30771555102
"BGM0368.250437186",81.3443950007267,275.943703157743,60.1368416982876,5.35835536915024,144.544901090715,113.431378788185,51.8648406838193,9.55395029054325,454.014283294142,10.7268274809584,256.332473969507,13.8331224653875,1477.08507328916
"BGM0424.250437187",66.04350566803,202.878562875308,57.166153072576,5.64629528595194,126.06969602303,123.148928426437,143.758645576986,11.2696949386278,393.650761649388,10.1418937541914,215.871228143881,11.8195147310643,1367.46488014547
"BGM0611.250437190",78.4862219346702,203.459706654401,48.3876811013956,5.73305829705118,133.51225904068,107.613995652542,141.694560729401,10.1484583855944,407.73073020013,11.8816133293622,225.533784609128,12.3285888023602,1386.51065873672
"BGM0649.250437198",84.7497855200465,197.72394571096,43.769007913415,5.58693006384592,129.282717547331,110.11250403886,124.665803215029,10.5251044330291,NA,NA,NA,NA,706.415798442517
"BGM0652.250437861",68.6611827528644,215.519194079315,50.1827767259279,5.31377758172787,135.96027604058,105.442845781579,87.8020627670253,9.7373294478035,406.375450008215,11.8966949344926,224.787984985442,12.1492689855221,1333.82884409049
"BGM0699.250437199",88.9345188532198,273.72808156971,62.2624461884298,5.9315228833857,153.512832042533,114.871221095729,125.323628742324,10.6012168219595,447.275817911028,10.6785969624536,252.158686509097,13.7789655862313,1559.0575351661
"BGM0834.250437194",114.053696033648,271.472849667956,65.19356488931,6.30641209129467,153.567232602444,112.255780523582,157.09806003742,10.7987289256333,NA,NA,NA,NA,890.746324771289
"BGM0914.250437205",122.124329702491,272.521363130877,59.8951911881348,5.67367699120356,151.515135481433,122.979387526046,172.176382726251,11.3679393555197,438.265454784632,9.67394677277771,245.774671736475,17.5218307999464,1629.48931019579
"BGM0915.250437213",88.3345028915507,205.113610679872,56.8100596783411,6.29736251424671,141.656054309884,122.479396763533,155.12032880026,10.8607825730533,419.80574053177,10.7177884630556,233.730191639764,13.7193785443214,1464.64519738965
"BGM0917.250437206",91.5903577493955,221.964455963124,63.8361983354637,6.34747904371061,144.673281688009,112.182275455202,142.033665953941,10.4130051219628,NA,NA,NA,NA,793.040719310808
"BGM0919.250437207",68.9311117116738,219.098668773819,50.6075067110677,5.7975392734292,141.987427649506,103.998342048332,81.9794684517102,10.0118133639656,351.703123393004,10.9608009716653,188.166374013619,11.8031823175763,1245.04535867937
"BGM0925.250437209",92.7049617286149,201.156735618023,76.6201359671866,5.51078178466381,134.145188185099,118.246188282665,175.342625551075,11.7974739173654,448.097275456264,10.6470341206565,251.159659640031,14.1947182643152,1539.62277851596
"BGM0943.250437224",58.4093695477072,203.647946212869,46.4605417395917,5.93249059341722,131.766898677936,111.931492298062,71.5837088094066,10.0385234103902,344.921965733061,9.92446735276997,183.58737438421,11.0976604576753,1189.3024392171
"BGM0946.250437233",66.267076957791,215.060267853244,47.8802589736498,5.78326658343506,143.099721415111,107.66879677702,91.600180583256,9.83036862505331,365.065705377022,10.2588804995448,197.023054906588,11.9596702129327,1271.49724876465
"BGM0947.250437226",96.2014954385509,239.418947730666,71.5557657304364,5.84040658293531,145.554366339207,113.811717165345,165.917327546966,10.8666553438507,461.267263903148,10.609840735605,261.117003212305,15.3072691052576,1597.46805883427
"BGM0948.250437234",63.9042616320364,231.110190114486,57.5262464730883,6.07756428739921,131.593890063177,107.035592906512,44.9731195573054,10.7983544351125,401.284326312898,9.5569600274243,221.135552295523,11.661176438923,1296.65723454389
