"ID_Clone","FRY","HI","N_Roots","Plant.Height","Root.Di","Root.Le","ShY","Stem.D","DMC","Nstem.Plant","StC","StY","pesos"
"Alagoana363.250437472",105.117931794982,246.720483917186,63.6584488100437,5.82793393304764,147.843466973741,117.671084096673,162.39004815809,10.5409419002149,NA,NA,NA,NA,859.770339583978
"Arari424.250437476",104.774962200633,259.67573197868,66.2280737186627,5.85451262886657,150.119437681744,117.450607566055,149.791166875545,10.4935364675769,NA,NA,NA,NA,864.388029117763
"BGM_2042",124.129525482607,263.565250603702,71.3519566015721,6.05210884478911,146.711458726111,120.743877233862,161.053483515485,10.826623733919,442.467947964111,11.4677743522474,248.717515416208,18.4541485080421,1625.54167098266
"BGM0290.250581760",111.610145915714,264.666475825766,65.7483560588136,5.94304622654908,148.936316417647,118.918678943079,138.974947150299,10.6303679377879,NA,NA,NA,NA,865.428334475657
"BGM0368.250437186",89.1731139941565,252.945322905133,65.2330103646269,5.86138224031584,141.960584644294,112.705615501277,111.405903189046,10.3494989901457,445.148275056516,10.5434820261078,250.438637930817,14.6881549298301,1510.45298177227
"BGM0424.250437187",95.6630519965185,245.871384403015,62.0330408248343,5.925446118787,142.530633157731,114.046210148938,129.350903858421,10.4836702504208,436.984887156899,10.3856830145331,245.119454735084,15.0583778897024,1513.45274355488
"BGM0611.250437190",94.9330001841587,243.759482049234,64.5968627899253,5.69504407059557,143.590790848241,116.077731123091,134.362483468724,10.2087997018656,422.920817088904,10.8268482836333,235.630191533732,14.5007588261652,1497.10280996827
"BGM0649.250437198",85.3481486426683,235.344581673223,57.232182858082,5.75327922905399,142.17448265809,114.237244640938,130.649518686463,10.3195769828076,NA,NA,NA,NA,781.059015371326
"BGM0652.250437861",96.708683531029,241.108863725295,62.7467052514174,5.81063549565478,142.438640681344,115.367546248692,141.908983476825,10.4863298421534,433.776188840704,10.7954380905,242.80629941007,14.7259124920017,1518.68022708569
"BGM0699.250437199",93.4894597253207,239.621884863137,60.2208415618587,5.93237549960058,142.802815833189,115.363552133157,135.088754541408,10.6160554049267,433.060915447187,10.3742557632186,242.180106376897,14.4751345317906,1503.22615168169
"BGM0834.250437194",95.7087723926241,242.894019670301,62.4671446215572,5.9327009741885,145.809022882265,115.703371121865,143.251467003229,10.6120722384807,NA,NA,NA,NA,822.37857090451
"BGM0914.250437205",88.4182724543897,240.157281715937,59.2810258483978,5.87638300442367,141.394956246578,114.455926117095,127.33705424282,10.5058247900946,420.335622065488,10.3602548536747,233.818667851485,13.9857848222664,1465.92705401265
"BGM0915.250437213",99.1975871573027,239.575866820845,67.7890231296417,6.09372355409583,146.318194299369,115.296928339659,144.520806998348,10.6422331721279,433.570803446545,11.0364525718732,242.739928877456,15.020776832341,1531.8023251996
"BGM0917.250437206",98.3680366691702,237.703008617092,67.3536827430794,6.08072191934984,147.196885271849,116.406759764659,147.562206751447,10.654639415956,NA,NA,NA,NA,831.325941152602
"BGM0919.250437207",73.7121388628709,218.29431156674,55.6798334852991,5.94320434354948,138.710699164702,107.933541480117,110.937150328953,10.2027616064992,405.364060423964,10.4768133422753,223.965885752078,12.4365848552582,1373.65698521231
"BGM0925.250437209",95.4861893885743,225.542228020809,65.7996406456023,6.16709183997006,140.019422373081,114.374516983819,167.20512061336,11.0452729602779,438.106494288878,10.5980023308605,245.47797185353,15.3086180780773,1535.13056937684
"BGM0943.250437224",93.0241615785122,240.063770862648,64.3653454907992,5.91308175190629,140.105483520729,116.988613066884,129.864168888939,10.633302784978,425.727610864594,10.1692525909282,237.478197898712,13.6275396451145,1487.96052894474
"BGM0946.250437233",75.418607739208,220.686312058959,56.7486488680741,5.9320401818652,139.40084864781,108.523984305608,101.951781973215,10.219688321833,404.847988846039,10.5102752958223,223.656161447985,12.2985533597305,1370.19489104615
"BGM0947.250437226",105.085579554518,253.744186960858,68.1540567853599,6.09453338652198,146.625582993815,115.671209439893,150.353965163593,10.5378622606577,446.562217658376,10.9979831126851,252.755590678327,15.6862009508434,1582.26896894545
"BGM0948.250437234",85.4114553437019,235.50698488052,59.2756405591102,5.81212869442401,140.520192653419,113.526275891198,117.251069091848,10.4221599995185,413.072928610087,10.2362214470386,229.049736561175,13.1757991959661,1433.26059292801
