Clone,Ano,NR.P,PTR,PPA,AP,HI,RF,CR,DR,DCaule,Ácaro,MS,PROD.AMD,AMD,Porte,Nº.Hastes,Stand_Final,Branching_Level,Staygreen
Alagoana,2017,-0.679527670074746,0.16567964983457,0.348506161567492,-0.0284595816460741,0.501365310971277,-0.0667096118660833,0.485482174611193,2.91404331895263,0.00442431383345309,-0.133356291445352,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0032,2017,1.4149887871318,0.304616558149886,0.89633946173633,0.121495492311097,0.429033332819931,0.400109690990888,4.50630021639532,-0.682963743351883,0.480035800644762,0.208057612858162,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0036,2017,-1.35403232076386,-0.813731627281722,8.0983400601905,0.212289044849991,-11.3135066527065,0.0967385769827612,2.19773702854736,-0.530243125155857,0.27379448597506,-0.423199672386572,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0046,2017,-0.332298764141964,2.46259152618087,4.90961537724659,0.108570296957034,4.30329745394799,0.0967385769827612,3.31221580888775,3.08768381927428,0.125269579029812,0.050243291546978,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0056,2017,1.91469958703478,2.3963149491281,0.420265433126607,0.117838187464821,12.1574115643252,-0.142058023294584,3.7627114779485,3.35813554696918,0.320312633434593,0.0733478167159709,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0065,2017,0.76420845000921,0.196754918401203,3.6785055414425,0.0919147316019586,-3.92001783788695,-0.230157800714928,1.51363254428565,3.16200027935182,0.0105003327539406,-0.269659944290538,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0080,2017,0.169702675699499,0.466365699204658,-2.01147399761776,-0.0360302931711077,9.13893083830663,-0.230157800714928,4.08400846847178,4.0134503708813,-0.0165041957815602,-0.133356291445352,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0091,2017,-1.53076196789723,-1.14976710617969,-2.63354150926847,0.0555753162817987,-4.5539445896415,0.0967385769827612,-1.1210027780051,-3.7565236924214,0.186029768234685,-0.405963597135723,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0096,2017,0.524624849575783,2.58911291819291,0.134382032928082,0.0404338932317311,13.5976847335557,0.0967385769827612,2.60604231206476,1.63621221086366,-0.121821857070006,-0.133356291445353,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0115,2017,0.763540465993131,-0.430221450918523,1.31206474044485,0.171407202614808,-4.34412132636874,-0.0667096118660833,2.15622652533217,0.142566711316187,0.125269579029814,-0.405963597135723,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0134,2017,0.31888577262366,0.0984957945531895,0.488563646571937,0.107056154652026,0.413711075791863,0.42363495468045,2.02770772912288,-0.652469891868544,0.0780116540926907,0.275554667090204,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0164,2017,0.779126759701626,1.01412201767142,4.06715557367394,0.268312310135237,-2.62699912527295,0.0967385769827612,3.18437689500663,1.44138888483574,0.0307537291555633,0.0733478167159709,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0167,2017,-1.47420598786926,0.294138682571282,-1.93210039820832,-0.125364689166502,8.4191799486094,-0.0667096118660833,-1.63507796284233,1.29641933920552,-0.178531366994557,0.139251014245018,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0170,2017,3.94909773669302,3.73867901523881,-0.0497462587252078,-0.0436010046961403,18.9933438188715,-0.230157800714928,2.60604231206477,5.3798375362557,-0.0772643849864338,0.548161972780574,NA,NA,NA,NA,NA,NA,NA,NA
BGM-0216,2017,-1.07341557822227,-0.480335792480204,2.37437884416884,0.13090389595588,-5.5201968405714,-0.230157800714928,-1.50655916663302,-1.78205160035375,0.216409862837124,0.0029473613998329,NA,NA,NA,NA,NA,NA,NA,NA
