probIn scale
0.2494402 0.0009319606
0.2584834 0.0009301078
0.2632975 0.0009563703
0.2619842 0.0009849604
0.2480296 0.0009948134
0.2580905 0.001013109
0.2491884 0.001021324
0.2568874 0.001022149
0.2435202 0.001032399
0.2423242 0.001058728
0.2378129 0.001048122
0.243055 0.00103739
0.24886 0.001062271
0.2408698 0.001079821
0.2485344 0.001092025
0.2494115 0.001084435
0.239241 0.001111334
0.2238366 0.001086944
0.2245059 0.00110008
0.2169663 0.001098272
0.2103622 0.001075421
0.2085579 0.001086307
0.2141678 0.001087829
0.2143382 0.001058623
0.2169238 0.001065386
0.201513 0.00106958
0.1917835 0.001050871
0.2008264 0.001064042
0.2037577 0.001046596
0.2117958 0.001039664
0.2192712 0.001034889
0.2155207 0.001031948
0.2086039 0.00101096
0.1927387 0.001013339
0.2079727 0.0009972504
0.2211492 0.001013312
0.2327934 0.001003936
0.2318408 0.0009953045
0.2412193 0.0009955395
0.2484366 0.000999382
0.2481307 0.001013644
0.2287332 0.0009776421
0.2330434 0.001000838
0.2344092 0.001005567
0.2436514 0.001011152
0.2490928 0.001019299
0.2627319 0.001015886
0.2685702 0.001012419
0.2620149 0.0009969367
0.2567606 0.001027205
0.2534827 0.001033965
0.2488924 0.00103885
0.2580573 0.001054693
0.2533101 0.001034095
0.2431161 0.001047408
0.2360047 0.001050103
0.2441692 0.001061453
0.242915 0.001052294
0.2519287 0.001048015
0.255822 0.001025748
0.2609258 0.001041946
0.2359049 0.001051096
0.2287145 0.001053523
0.23131 0.001023888
0.234468 0.001010616
0.2525021 0.001037516
0.2459669 0.0010358
0.2436643 0.001019756
0.2464053 0.001003631
0.2535652 0.001005094
0.2636697 0.00100295
0.2689911 0.001010093
0.2792826 0.001023433
0.2876538 0.001035448
0.2966798 0.001023469
0.2776025 0.001014132
0.275058 0.001022537
0.2661688 0.001027654
0.2534413 0.001019976
0.2442645 0.001012319
0.2550027 0.001007476
0.2532912 0.001005715
0.2630454 0.0009982056
0.2697736 0.001014833
0.2997117 0.001026623
0.2940742 0.00100996
0.2916126 0.001022136
0.3061659 0.00103811
0.3029557 0.001023629
0.2952753 0.001035182
0.2926705 0.001028528
0.2994493 0.001043049
0.3012367 0.00102153
0.2992389 0.001042468
0.2930632 0.001036524
0.2997619 0.00105417
0.3037211 0.001069211
0.2993615 0.001094336
0.2987502 0.001089412
0.2875855 0.001101746
0.2887364 0.001106162
0.2908215 0.00110841
0.2997617 0.001117713
0.3001003 0.001129357
0.2888417 0.001131621
0.2838388 0.001136755
0.2925008 0.001142754
0.3025317 0.001150127
0.2956359 0.001138527
0.3023005 0.001147898
0.3224778 0.001140205
0.3220993 0.001119299
0.3284873 0.0011238
0.3218683 0.001130712
0.3223163 0.001118099
0.3161616 0.001101497
0.3201566 0.001069217
0.3192371 0.001055756
0.3053619 0.001079185
0.3130156 0.001065208
0.2933929 0.001063406
0.2966305 0.001049527
0.2861246 0.001067672
0.2792241 0.001068247
0.2718986 0.001048549
0.276135 0.001064695
0.2732816 0.001043949
0.2776192 0.001048824
0.2790772 0.001060146
0.2783894 0.00107906
0.2708881 0.001097487
0.2741351 0.001112679
0.283152 0.001147293
0.286955 0.001133428
0.2819077 0.001119987
0.2762444 0.00111222
0.2675372 0.001099751
0.2664879 0.001090534
0.2569383 0.001113246
0.264314 0.001108034
0.2582376 0.001093934
0.2827731 0.00108709
0.2846886 0.001074241
0.2632121 0.001080434
0.2668679 0.001082042
0.2613399 0.00109151
0.2675135 0.001091969
0.2825675 0.001087255
0.2633113 0.001077451
0.2627009 0.001077573
0.2670058 0.001050002
0.2746196 0.001044735
0.273061 0.001037638
0.2696803 0.001049572
0.2611339 0.001063536
0.2736476 0.001035024
0.2724638 0.001026979
0.2827049 0.001037431
0.2751602 0.001051779
0.281267 0.001032295
0.2874987 0.00104426
0.293022 0.001085418
0.278163 0.001081088
0.287254 0.001087321
0.2867734 0.001074034
0.3000229 0.001081499
0.2998688 0.001066174
0.3099681 0.001068443
0.3063913 0.0010656
0.3014653 0.001060927
0.2958277 0.001065655
0.2994006 0.001067197
0.2909754 0.001075743
0.3008068 0.001096593
0.2968648 0.001099181
0.3082148 0.001120821
0.30451 0.001124908
0.2864787 0.001120271
0.2637923 0.001129788
0.2599986 0.001128016
0.2533605 0.001132815
0.2625069 0.001153633
0.2629839 0.001168103
0.2497415 0.001168856
0.2499757 0.001180308
0.259114 0.00114448
0.2545104 0.00112767
0.2683113 0.001103574
0.2640848 0.001097733
0.2596651 0.001105664
0.2501126 0.001097049
0.2490418 0.001096629
0.246748 0.001101965
0.2523489 0.001097487
0.266902 0.001078432
0.2574714 0.001082495
0.2474541 0.001081245
0.2578254 0.001076923
0.2515477 0.001083422
0.2530954 0.00106032
0.2565889 0.001060998
0.255266 0.001063021
0.2534064 0.001060509
0.2643836 0.001058307
0.2750401 0.001044878
0.2713108 0.001051345
0.2723376 0.001033834
0.2707537 0.001063982
0.2615969 0.001066388
0.2668923 0.001056768
0.2528406 0.001058904
0.2580198 0.001061553
0.2561066 0.00107222
0.263744 0.001073164
0.265859 0.001079996
0.2727624 0.001093739
0.2773976 0.001099513
0.2743962 0.001084225
0.2770464 0.00106346
0.2701941 0.001074464
0.2668387 0.001078038
0.2559129 0.001070047
0.2440554 0.001060829
0.2501412 0.001066179
0.2550769 0.001080592
0.2469898 0.001072957
0.2252428 0.001073317
0.2424056 0.001074756
0.2305608 0.001074568
0.2365581 0.00107089
0.2270938 0.00105346
0.2310844 0.001055916
0.2385249 0.001051658
0.2517326 0.001042416
0.2569433 0.001049845
0.2418308 0.001050115
0.2446065 0.001062777
0.2337717 0.001069726
0.2340611 0.001068561
0.225263 0.001075019
0.2316356 0.001088074
0.2347887 0.001073646
0.2237133 0.001090413
0.2210325 0.001084527
0.2253155 0.001081206
0.2282429 0.001082288
0.2282416 0.001086389
0.2337318 0.001046566
0.2351465 0.001049997
0.2284801 0.00103402
0.2367984 0.001027426
0.2436509 0.001042354
0.2346562 0.001072733
0.2483843 0.001096348
0.2489729 0.001091157
0.2383585 0.001091314
0.2417138 0.001094011
0.2476119 0.001093892
0.2219461 0.001051705
0.2255233 0.001025537
0.2308205 0.001014016
0.2387712 0.0009898898
0.2490098 0.0009959403
0.2459182 0.00100261
0.2476665 0.001015127
0.2309688 0.001016777
0.2201037 0.001016369
0.2232788 0.001032931
0.2401464 0.001035811
0.2450158 0.001018521
0.2522644 0.001018013
0.2493401 0.001001561
0.2319394 0.001013085
0.2356973 0.001030082
0.230652 0.001006931
0.2408367 0.001003672
0.2299761 0.001003646
0.2224598 0.001012008
0.2264218 0.001037615
0.2305559 0.001045584
0.2149796 0.001070748
0.214523 0.001068392
0.2211541 0.001055785
0.2273977 0.001079243
0.2213631 0.001061637
0.2150745 0.001039077
0.2147908 0.001031484
0.2115249 0.001014223
0.2154173 0.0010073
0.2114561 0.001001674
0.2064498 0.001026446
0.2031546 0.001059111
0.2095139 0.00107313
0.2149176 0.001061869
0.2176888 0.001085934
0.2189218 0.001063622
0.2120407 0.001045942
0.1949589 0.001035763
0.1948419 0.001064899
0.2043941 0.001068183
0.2088494 0.001013675
0.1935523 0.001015358
0.1983104 0.001031462
0.2021431 0.001061672
0.1855372 0.001060252
0.1870953 0.001043374
0.183791 0.001053621
0.1728042 0.001047694
0.1757418 0.001059845
0.182993 0.001035593
0.1708996 0.001046912
0.1672334 0.001043595
0.1711312 0.001041556
0.187611 0.001020246
0.1871982 0.001015826
0.1803077 0.001017059
0.1801634 0.001018207
0.1690563 0.001040527
0.169096 0.001026222
0.1590931 0.001019479
0.1568433 0.00104342
0.1570954 0.001036182
0.1552255 0.001047495
0.1512473 0.001024761
0.1470226 0.001008634
0.1453537 0.0009939447
0.1401415 0.0009924272
0.1398611 0.0009913776
0.1452274 0.001004715
0.1550736 0.0009796233
0.1592345 0.0009703119
0.1560487 0.0009698098
0.1606942 0.0009713901
0.1569885 0.0009807933
0.168986 0.0009808013
0.1747382 0.0009613048
0.1772413 0.0009681773
0.1796724 0.000981731
0.1903548 0.0009822592
0.1827513 0.0009661146
0.1876388 0.0009673548
0.1877506 0.0009764646
0.1932357 0.000975254
0.1860049 0.0009824292
0.1814035 0.0009829033
0.1774062 0.0009983329
0.1811798 0.001002401
0.1721727 0.000999949
0.1716322 0.0009992739
0.1737531 0.001035463
0.1700949 0.001048388
0.1713883 0.001044913
0.1760853 0.001040109
0.1729011 0.001029401
0.1636851 0.001036668
0.1753406 0.001041346
0.1772555 0.001038539
0.1781813 0.001041867
0.1746338 0.001044398
0.1708745 0.001014508
0.1658019 0.001021065
0.1718336 0.001012183
0.1683173 0.001005174
0.1741386 0.001003524
0.1886975 0.0009901601
0.1933058 0.0009901263
0.1969645 0.0009861412
0.2099423 0.0009905821
0.218506 0.0009878231
0.2250621 0.0009939352
0.2139806 0.0009867078
0.2130019 0.0009955899
0.2153397 0.001001726
0.2250497 0.001019388
0.2281743 0.001005574
0.2182103 0.0009933735
0.2398899 0.0009832686
0.2149429 0.0009967033
0.2150435 0.0009988465
0.2210135 0.0009971078
0.2364388 0.001022936
0.2415884 0.001029193
0.2363622 0.001038636
0.2367581 0.001048347
0.2255092 0.001020512
0.196266 0.001026586
0.1996297 0.001008658
0.1937215 0.001012481
0.1952235 0.001026258
0.1921017 0.001016053
0.2175767 0.001025757
0.2104427 0.001015241
0.2176941 0.001013714
0.2203987 0.001009567
0.2212435 0.001013949
0.2264471 0.00100234
0.2183198 0.0009976075
0.2263434 0.001006873
0.220326 0.001011003
0.2277487 0.001007059
0.2157788 0.001016025
0.2114826 0.0009982891
0.2238678 0.000983633
0.2299792 0.0009660747
0.2244182 0.0009675239
0.2351164 0.0009779585
0.230049 0.0009784951
0.2306542 0.0009856824
0.2251458 0.000962541
0.2167665 0.0009664732
0.233466 0.0009630673
0.2345669 0.0009591743
0.2331882 0.000973648
0.2261501 0.0009757383
0.2202317 0.0009946186
0.2226425 0.001030247
0.2127675 0.001077575
0.2138892 0.001086028
0.2255232 0.001085585
0.2214164 0.001067104
0.221084 0.001080489
0.2211286 0.001071912
0.2111237 0.001082071
0.2241526 0.001090245
0.2062868 0.001084865
0.213761 0.001075075
0.2083835 0.001063659
0.2111625 0.001064692
0.2195083 0.001059165
0.2307137 0.00107034
0.2370764 0.001066665
0.2395035 0.00104079
0.2306333 0.001049545
0.2321217 0.001061828
0.2290005 0.001051147
0.2229154 0.00106495
0.2289336 0.001071405
0.2188072 0.00106292
0.2150353 0.001065323
0.2176727 0.001067711
0.219519 0.001097421
0.2119178 0.001084258
0.2146186 0.001088562
0.2037671 0.001106185
0.2097076 0.001105907
0.207855 0.001092405
0.21097 0.001112717
0.2151845 0.001124569
0.227123 0.001126005
0.2392354 0.001103366
0.2426047 0.001095943
0.246299 0.001105299
0.2537127 0.00110228
0.2480022 0.001093435
0.256433 0.001119512
0.249451 0.001122636
0.2582638 0.001115699
0.2397719 0.001147013
0.2265308 0.001133148
0.2159353 0.001100588
0.2111309 0.001112943
0.211028 0.001104804
0.2078989 0.001105177
0.1920017 0.001112095
0.1979152 0.001125565
0.1935617 0.001113432
0.192062 0.00111403
0.1974094 0.001111249
0.2003296 0.001142159
0.1967855 0.001147497
0.2062837 0.001143354
0.2077678 0.001132111
0.2170806 0.001123294
0.2174838 0.001124528
0.2236421 0.00113917
0.2200294 0.001110678
0.2261674 0.001095602
0.2344363 0.001074594
0.2432173 0.001054921
0.2439599 0.001045654
0.2513198 0.001038241
0.254995 0.001039046
0.2487219 0.001046079
0.2596616 0.001044113
0.2791833 0.001027232
0.2812915 0.001029078
0.2643139 0.001049362
0.2703726 0.001049473
0.2766998 0.001025992
0.2759652 0.00104009
0.2719759 0.001072598
0.2669879 0.001069016
0.262624 0.001101849
0.2701663 0.001106471
0.2825156 0.00110531
0.2753253 0.001116362
0.2660876 0.001092783
0.2753534 0.001111901
0.280637 0.001119292
0.2896546 0.001125714
0.3069056 0.001122805
0.3156867 0.001113861
0.3049807 0.001103328
0.2889634 0.00108572
0.2875877 0.001090885
0.2733105 0.001080115
0.2818999 0.001091711
0.2707337 0.001106374
0.2591836 0.001115797
0.2577178 0.001123021
0.2514471 0.001143046
0.251589 0.001137528
0.2490549 0.001132885
0.240135 0.001138956
0.2527128 0.00113711
0.2497132 0.001171107
0.2393586 0.001178618
0.2365963 0.001166115
0.2281633 0.001184895
0.21857 0.001159543
0.2045799 0.001179594
0.2136822 0.001210588
0.2228358 0.001221263
0.2298576 0.001220951
0.2287238 0.001219488
0.2402645 0.001209907
0.2356515 0.001184498
0.2393553 0.001178557
0.2497482 0.001197553
0.2593377 0.001160744
0.2569793 0.001163602
0.247987 0.00116534
0.2545628 0.001129688
0.2532264 0.001118649
0.2450882 0.001109775
0.2585444 0.001115019
0.2629593 0.001092244
0.2654845 0.001057129
0.258742 0.001065727
0.2720612 0.001065845
0.2797231 0.001031848
0.2760738 0.001019083
0.2770874 0.001045105
0.2841814 0.001028675
0.2862988 0.001031033
0.2651142 0.001035492
0.252606 0.001043385
0.2666159 0.001043994
0.255226 0.001039752
0.2606109 0.001046258
0.2587389 0.001043478
0.2461181 0.001060173
0.2578779 0.001054757
0.2650438 0.001077898
0.2667825 0.001087867
0.2587742 0.001084167
0.2466075 0.001113444
0.2428319 0.001122746
0.2403 0.001101224
0.247944 0.001107598
0.2528035 0.00109735
0.2393699 0.001094968
0.2242013 0.001082802
0.2419825 0.001091642
0.259347 0.001081889
0.2600794 0.001066594
0.2567606 0.001071547
0.2461628 0.001080735
0.2564898 0.001089031
0.2426452 0.001100276
0.2199554 0.001100928
0.2223626 0.001101467
0.236667 0.001086344
0.2429687 0.001083471
0.2562729 0.001063642
0.2580482 0.001047216
0.2537791 0.00106166
0.2618442 0.001043756
0.2641662 0.001022755
0.2675593 0.001000487
0.2833296 0.00100213
0.2900899 0.001003636
0.2877423 0.001013283
0.2759906 0.0009957876
0.27956 0.0009829372
0.2978296 0.0009894371
0.3105655 0.0009860724
0.3154112 0.0009975472
0.302773 0.0009761745
0.2933059 0.0009848756
0.2994555 0.0009750484
0.3168914 0.0009775662
0.3082073 0.0009920593
0.3207004 0.001007936
0.3248435 0.001009963
0.3255279 0.001022431
0.3266364 0.001020355
0.3108064 0.001017782
0.3377352 0.001009785
0.3427941 0.001024848
0.339994 0.001044424
0.3349863 0.001024801
0.3181233 0.001022866
0.3259256 0.0009988146
0.3482232 0.001010466
0.3572564 0.0009978885
0.3588892 0.001003942
0.3617956 0.0009890103
0.3504735 0.001001572
0.3428972 0.00100243
0.3449174 0.0009999111
0.3445688 0.0009837336
0.3468261 0.0009781552
0.3483158 0.0009732859
0.3422073 0.0009794328
0.334299 0.0009655359
0.3346182 0.0009586216
0.3402219 0.0009372153
0.332024 0.000936428
0.3234823 0.0009231843
0.327117 0.0009157925
0.3252187 0.0009268363
0.3481435 0.0008996068
0.3599926 0.0008927506
0.3646024 0.0009068382
0.3652295 0.0009085056
0.3639649 0.000919437
0.3627147 0.0009143515
0.3638053 0.0009107895
0.3616904 0.0008905657
0.3702786 0.0008976583
0.3645626 0.0008926004
0.3688912 0.0009033715
0.3564637 0.0009253072
0.3407362 0.0009220168
0.3387747 0.0009394629
0.3453296 0.0009538867
0.3580165 0.000944052
0.343938 0.0009477069
0.3474757 0.000959323
0.3525695 0.0009450665
0.349039 0.0009346296
0.3497569 0.0009064237
0.3447057 0.0008993841
0.3553847 0.0008979361
0.3486315 0.000887586
0.3365373 0.0008922149
0.3396108 0.0008867902
0.3536154 0.0008955868
0.3493619 0.0008884468
0.3303575 0.0008899397
0.3285298 0.0009130529
0.328023 0.0009325865
0.3412368 0.0009390552
0.3353705 0.0009365455
0.320753 0.0009522303
0.3042596 0.0009509827
0.2955126 0.000955882
0.3016561 0.0009493102
0.3041657 0.0009505203
0.3179489 0.0009429662
0.316035 0.0009427196
0.3084085 0.0009186342
0.3017049 0.0009377786
0.3016927 0.0009357115
0.298747 0.0009384883
0.2978548 0.0009205395
0.3024871 0.0008996904
0.290919 0.0009020853
0.3107726 0.0009040804
0.3212782 0.0008824137
0.3237062 0.0008870702
0.3224104 0.0008932635
0.3124803 0.0008815189
0.3217195 0.0008973414
0.3326633 0.0008871737
0.3182116 0.0008773324
0.3199552 0.0008691312
0.3198548 0.0008646924
0.3271367 0.000877682
0.3327501 0.0008780122
0.3368974 0.0008646358
0.3360707 0.0008449376
0.3281269 0.0008475999
0.3157861 0.000842129
0.3007724 0.0008513973
0.3056146 0.0008414884
0.3133501 0.0008554076
0.3119759 0.0008546758
0.3173001 0.0008546808
0.3193288 0.0008401109
0.3130227 0.0008317145
0.3250588 0.0008363246
0.3222948 0.0008271976
0.3476877 0.0008317246
0.3362617 0.0008326346
0.3345743 0.0008519947
0.3518364 0.0008467033
0.3556343 0.0008453227
0.3373498 0.0008377178
0.3312089 0.0008288753
0.3292192 0.0008557197
0.3346709 0.0008733635
0.3220938 0.0008679829
0.3094982 0.0008535254
0.3175543 0.0008346317
0.3170691 0.0008284728
0.3155112 0.0008274457
0.2993754 0.0008353282
0.3041143 0.0008405154
0.3069005 0.0008318193
0.3042316 0.0008441676
0.2925546 0.0008537714
0.2789828 0.0008550054
0.2633839 0.0008564978
0.2727456 0.0008590973
0.2721336 0.0008559631
0.2880373 0.000869053
0.2840579 0.0008809116
0.2767729 0.0008677166
0.2807095 0.0008646285
0.283986 0.0008568506
0.2947968 0.0008459757
0.2912187 0.0008370885
0.2908874 0.0008259256
0.302323 0.0008488332
0.3075557 0.0008419836
0.3041586 0.0008589493
0.299417 0.0008628287
0.296251 0.0008762505
0.2842263 0.0008648288
0.2890516 0.0008776328
0.2931268 0.0008783982
0.3074248 0.0008913761
0.3129278 0.0009091537
0.3033673 0.000891658
0.3039685 0.0008690915
0.2963154 0.0008773471
0.2958881 0.0008805196
0.2904402 0.000885999
0.2831813 0.00089015
0.2842342 0.0008865974
0.2868431 0.0008800192
0.294022 0.0008723818
0.2872772 0.0008760968
0.2916521 0.0008627832
0.2957497 0.0008540187
0.3032531 0.0008751559
0.2965383 0.0008474344
0.2950349 0.0008505375
0.3177384 0.0008515746
0.3130206 0.0008554939
0.3017417 0.0008557579
0.3016036 0.0008622611
0.3086436 0.0008647572
0.3090811 0.0008637524
0.2950737 0.0008643954
0.31342 0.0008773615
0.3046936 0.0008675271
0.2915775 0.0008732018
0.2898504 0.0008874323
0.2910686 0.0008745364
0.2975391 0.0008818663
0.2932584 0.0008731804
0.2857615 0.0008555343
0.2885174 0.0008279055
0.2836592 0.0008283296
0.2775506 0.0008304429
0.2634077 0.0008182659
0.2592396 0.0008353192
0.270462 0.0008478173
0.2669668 0.0008649494
0.2499896 0.0008783327
0.2501164 0.0008700904
0.2427101 0.0008872924
0.2395535 0.0008900438
0.2262759 0.0008933246
0.2144031 0.0008897196
0.2216223 0.0008806179
0.2261724 0.0008885613
0.2203249 0.0008952997
0.2134296 0.0009079442
0.2041272 0.0009044646
0.1992058 0.000892235
0.2130912 0.0008919906
0.2138793 0.0008767187
0.22333 0.0008950409
0.2166342 0.0008818501
0.2178684 0.0008878974
0.2180797 0.0008909441
0.222702 0.0008962332
0.2095831 0.0008926767
0.2041286 0.0008783174
0.2117729 0.0008725439
0.2044252 0.0008648939
0.2026331 0.0008772855
0.2046133 0.0008765136
0.2104597 0.0008673428
0.2134973 0.0008641336
0.2129844 0.0008686119
0.2032415 0.0008752183
0.2191119 0.0008878768
0.2262725 0.0008836642
0.2377412 0.0008951692
0.2281272 0.0009066784
0.2296998 0.0009099421
0.2232864 0.0009307688
0.2274423 0.0009079152
0.2262658 0.0009159145
0.2200774 0.0009187034
0.2228954 0.0009161472
0.2206726 0.0009277109
0.2241149 0.0009280598
0.213971 0.0009385259
0.2154706 0.0009322624
0.2225631 0.0009424712
0.2139472 0.0009262065
0.2153649 0.0009376041
0.2127566 0.0009499741
0.2147274 0.0009409803
0.2188835 0.0009429296
0.2150365 0.0009287113
0.2095603 0.0009299597
0.2033142 0.0009218461
0.2205477 0.0009095992
0.2205959 0.0009295392
0.2282124 0.000932108
0.2263095 0.0009373263
0.2149498 0.0009424713
0.2189333 0.0009338714
0.2136433 0.0009443001
0.2114818 0.0009329594
0.2116988 0.0009207341
0.2095026 0.0009132706
0.2130905 0.0009170184
0.2014196 0.0009359142
0.2082675 0.0009409423
0.1983553 0.0009286669
0.1959497 0.0009346451
0.2061616 0.0009397064
0.2095243 0.0009225587
0.2129855 0.0009109073
0.2232043 0.0009158887
0.2235014 0.0009288296
0.226678 0.0009309073
0.2338927 0.0009429945
0.2308235 0.0009491161
0.2450949 0.0009503086
0.2464552 0.0009531012
0.2350766 0.0009509342
0.2302873 0.0009642719
0.228692 0.0009430708
0.2173498 0.0009412705
0.2254888 0.0009436623
0.2279928 0.0009400635
0.2202771 0.0009385357
0.219329 0.0009242243
0.2215569 0.0009283043
0.2349458 0.0009267543
0.2345427 0.0009203557
0.2405834 0.0009296482
0.2257779 0.0009377576
0.2329164 0.0009426091
0.2277762 0.0009392083
0.2267299 0.0009298787
0.2423089 0.0009458918
0.2326249 0.0009582397
