Ano,NR.P,PTR,PPA,AP,HI,RF,CR,DR,DCaule,Ácaro,MS,PROD.AMD,AMD,Porte,Nº.Hastes,Stand_Final,Branching_Level,Staygreen
2017,0.0422106259329594,0.0398104221742689,0.152730593702103,0.0144912670843406,-0.027058489630641,0.0074451105560797,0.104340199868763,0.0243712792544943,0.00772622819777589,-0.000566247437905454,NA,NA,NA,NA,NA,NA,NA,NA
2018,-0.00546807950999216,-0.0376990014854595,-0.0527617330779882,-0.00212778156050475,-0.0585233145996876,-0.00686927370742792,-0.0116724401446524,-0.0334311890324595,-0.00494598008431512,0.000697738109273184,-0.0103446580913642,-0.0100821055421966,-0.0100523571493887,-0.00230866438525173,0.00176277276933884,-0.000653974010243949,-0.00266066644007536,-0.000312191141498619
2019,-0.18697003883202,-0.234983143373243,-0.122277909823237,-0.00836398887730788,-0.620971734786515,NA,-0.085125619014604,-0.318721694851609,-0.00532344635658442,NA,0.00390922965287431,-0.0513768986409989,0.0039092296527553,0.0296331789208071,0.0114213283566387,0.00374841563804423,-0.0102584519513542,NA
2020,-0.04728204630108,-0.184537288990378,-0.448168042698702,-0.00765523192430338,-0.156461936871852,-0.00355685741396762,-0.0602872546465317,-0.121747066636371,-0.0106980669962648,0.0089810057360676,-0.161384005471054,-0.053476001178793,-0.161384005473077,-0.00154278400447328,0.00769740431921265,-0.0211038806969515,0.00208773710901961,NA
