grp,var1,var2,vcov.NR.P,sdcor.NR.P,vcov.PTR,sdcor.PTR,vcov.PPA,sdcor.PPA,vcov.MS,sdcor.MS,vcov.PROD.AMD,sdcor.PROD.AMD,vcov.AP,sdcor.AP,vcov.HI,sdcor.HI,vcov.AMD,sdcor.AMD,vcov.Porte,sdcor.Porte,vcov.RF,sdcor.RF,vcov.CR,sdcor.CR,vcov.DR,sdcor.DR,vcov.DCaule,sdcor.DCaule,vcov.Ácaro,sdcor.Ácaro,vcov.Nº Hastes,sdcor.Nº Hastes,vcov.Stand_Final,sdcor.Stand_Final,vcov.Branching_Level,sdcor.Branching_Level,vcov.Staygreen,sdcor.Staygreen
Clone,(Intercept),NA,2.2970789804038,1.51561175120933,5.85049658642356,2.41877997891986,29.7482461533357,5.45419528008814,13.7656916330445,3.71021449960033,0.556042465876642,0.745682550336698,0.0272990774633485,0.165224324672091,62.613336034764,7.9128589040096,13.762177366031,3.7097408758606,0.373120786272677,0.610836137006217,0.07045079070576,0.265425678308938,7.7845519157189,2.79008098730465,14.902063504408,3.86031909359939,0.0456658117889647,0.213695605450755,0.0799131463057968,0.282689133688928,0.221866323471245,0.471026881898735,0.390810439523155,0.62514833401614,0.187431781837901,0.432933923177545,0.0034641797646076,0.0588572830209448
Ano.Bloco,(Intercept),NA,0.1065718514234,0.326453444496149,0.684309222984834,0.827229848944557,2.92966376831871,1.71162605972178,1.58475365595418,1.25886999168071,0.12287650707003,0.350537454589421,0.0102952867388372,0.101465692422795,4.3881577360161,2.09479300552969,1.66379828191373,1.28988304970401,0.0089857214922808,0.0947930455902794,0.0722278479325033,0.268752391491691,1.64148659898965,1.28120513540559,5.48627821554882,2.34228055867542,0.00999008820218169,0.0999504287243516,0.0163462417378695,0.127852421712964,0.0107677521516758,0.103767779930361,0.0081146477099634,0.090081339410354,0.00881682144891357,0.0938979310150845,0.00813463192824498,0.09019219438646
Residual,NA,NA,2.14675023037967,1.46517924854936,7.44520792181136,2.72859083077902,22.6666724138648,4.76095288927173,10.8593793205436,3.2953572371662,0.934515205931495,0.966703266742952,0.0393262432595881,0.198308454836369,62.4977596357469,7.90555245607459,10.8600180604485,3.29545415086426,0.796145639254391,0.892269936316578,0.391957608063714,0.626065178766328,16.8928109152325,4.11008648512808,25.2894259133804,5.02885930538729,0.0901538111312888,0.300256242451824,0.323461484001269,0.56873674402246,0.393343743891654,0.627171223743288,0.830673218179861,0.91141275950025,0.192952744438478,0.439263866529535,0.172710601553457,0.415584650286145
